namelist_title,namelist_author,namelist_id,an_assault_army,an_clone_army,an_defense_army,an_gene_warrior_army,an_industrial_army,an_machine_assault_1,an_machine_assault_2,an_machine_assault_3,an_machine_defense,an_occupation_army,an_postatomic_army,an_primitive_army,an_psionic_army,an_robotic_army,an_robotic_defense_army,an_robotic_occupation_army,an_slave_army,an_undead_army,an_xenomorph_army,cn_first_names_female,cn_first_names_male,cn_regnal_first_names_female,cn_regnal_first_names_male,cn_regnal_second_names,cn_second_names,fn_fleet_names,fn_random_names,pn_alpine_planets,pn_arctic_planets,pn_arid_planets,pn_continental_planets,pn_desert_planets,pn_gaia_planets,pn_generic_planets,pn_ocean_planets,pn_savannah_planets,pn_tropical_planets,pn_tundra_planets,sn_battle_cruiser,sn_battleship,sn_carrier,sn_colonizer,sn_colossus,sn_construction_cruiser,sn_constructor,sn_corvette,sn_cruiser,sn_destroyer,sn_dreadnought,sn_escort_carrier,sn_exploration_ship,sn_flagship,sn_frigate,sn_generic,sn_headquarters,sn_ion_cannon,sn_juggernaut,sn_light_carrier,sn_military_station_large,sn_military_station_medium,sn_military_station_small,sn_science,sn_science_cruiser,sn_sponsored_colonizer,sn_striker_cruiser,sn_superdreadnought,sn_titan,sn_transport,sn_xl_cannon
Ancient Egyptian (ONL),osiris,ancientegypt,$ORD$ Purifiers of Osiris,$ORD$ Chosen of Min,$ORD$ Guardians of Osiris,$ORD$ Chosen of Ra,$ORD$ Chosen of Amenhotep,$ORD$ Purifiers of Ptah,$ORD$ Purifiers of Ptah,$ORD$ Purifiers of Ptah,$ORD$ Guardians of Ptah,$ORD$ Liberators of Osiris,$ORD$ Chosen of Apopis,$ORD$ Chosen of Hathor,$ORD$ Chosen of Min,$ORD$ Chosen of Ptah,$ORD$ Guardians of Ptah,$ORD$ Liberators of Ptah,$ORD$ Chosen of Set,$ORD$ Chosen of Anubis,$ORD$ Chosen of Typhon,Aat,Akhom,Merneith,"Djoser,",Lord of Worlds,,$ORD$ Disciples of Horus,Sopdus Gale,,,,,,,Thebes,,,,,,Horus,Amon-Ra,Renenutet's Will,Amon,Ptah's Vigor,Renenutet's Plow,Nefertari,Maahes,Sebiumeker,Anubis,,Thoth's Reach,Sobek,Abu,Ra's Arrow,,Gaze of Ra,Neith,,,,,Thoth's Brilliance,Hand of Imhotep,,,,,Khonsu's Chariot,Light of Ra
,,,,,,,,,,,,,,,,,,,,,,Ahhotep,Amasis,Sobekneferu,"Khufu,",Beloved of Ra,,,Hathors Splendor,,,,,,,Memphis,,,,,,Amon,Horus,Hapi's Flood,Amon-Ra,Breath of Nepit,Hand of Atum,Qerhet,Menhit,Amathaunta,Osiris,,Thoth's Discovery,Set,Ra-ateni,Sobek's Gaze,,,Osiris,,,,,Thoth's Light,Thoth's Light,,,,,Hand of Khonsu,
,,,,,,,,,,,,,,,,,,,,,,Amenirdis,Amenmesse,Hatshepsut,"Thutmose,",The Enduring,,,Sekhmets Guardians,,,,,,,Amarna,,,,,,Amon-Ra,Set,Nepit's Bounty,Anhur,Renenutet's Plow,Breath of Nepit,Buchis,Pakhet,Hatmehit,Anhur,,Revelation of Khonsu,Montu,Asclepius,Horus's Chariot,,,Amon,,,,,Spirit of Thoth,Spirit of Thoth,,,,,Breath of Khonsu,
,,,,,,,,,,,,,,,,,,,,,,Aneksi,Amenmose,Nefertiti,"Amenhotep,",Sacred of Appearance,,,Maahess Roar,,,,,,,Abydos,,,,,,Osiris,Osiris,Isis's Hearth,Anubis,Ptah's Vision,Hand of Ptah,Baal,Tefnut,Iw,Sobek,,Khonsu's Secret,Sekhmet,Mehit,Montu's Fury,,,Sobek,,,,,Thoth's Genius,Imhotep's Genius,,,,,Khonsu's Will,
,,,,,,,,,,,,,,,,,,,,,,Ankhenespepi,Amennakht,Cleopatra,"Akhenaten,",Of the Two Ladies,,,Menhits Thunder,,,,,,,Apis,,,,,,Aten,Montu,Tatenen's Will,Aten,Hand of Atum,Nefertum's Creation,An-hetep-f,Wadjet,Iah,Sekhmet,,Khonsu's Yearning,Osiris,Unut,Bastet's Shield,,,Set,,,,,Imhotep's Light,Spirit of Imhotep,,,,,Khonsu's Steed,
,,,,,,,,,,,,,,,,,,,,,,Ankhesenamun,Amenophis,Neferirkare,"Tutankhamun,",Mighty of Kas,,,Khepris Guard,,,,,,,Setennu,,,,,,Neith,Isis,Hathor's Bounty,Bastet,Nefertum's Creation,Bennu's Blessing,Ammit,Selkis,Fetket,Ra,,Thoth's Utterance,Anhur,Āpesh,Aten's Dagger,,,Selkis,,,,,Eye of Imhotep,Hand of Thoth,,,,,Spirit of Khonsu,
,,,,,,,,,,,,,,,,,,,,,,Ankhesenpaaten,Ameny,Aya,"Remesses,",Divine in Appearance,,,Sets Wrath,,,,,,,Tao,,,,,,Set,Sobek,Rite of Anuket,Horus,Ptah's Fortitude,Ptah's Fortitude,Astennu,Nun,Shesmetet,Neith,,Khonsu's Pioneer,Bastet,Panebtawy,Anubis's Chariot,,,Anubis,,,,,Hand of Thoth,Eye of Thoth,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Anpuhotep,Amun-her-khepeshef,,"Sekhemket,",Giver of Life,,,Bennus Fire,,,,,,,Per-Hathor,,,,,,Isis,Aten,Hathor's Will,Montu,Bennu's Blessing,Ptah's Vision,Seshat,Kek,Iabet,Bastet,,Khonsu's Prophecy,Aten,Yam,Anubis's Star,,,Horus,,,,,Spirit of Imhotep,Imhotep's Brilliance,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Baketmut,Amun-her-wenemef,,"Snefru,",Light of Ra,,,Selkiss Sting,,,,,,,Kom Ombo,,,,,,Selkis,Bastet,Isis's Bounty,Neith,Ptah's Will,Ptah's Vigor,Ta-Bitjet,Nephthys,Qetesh,Isis,,Thoth's Prophecy,Anubis,Baal,Menhit's Mane,,,Anhur,,,,,Hand of Imhotep,Thoth's Genius,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Beketamun,Ankh-ef-en-khonsu,,"Khafre,",Spirit of Aten,,,Isiss Blessed,,,,,,,Swenett,,,,,,Montu,Anubis,Rite of Tatenen,Isis,Hand of Ptah,Ptah's Will,Ken,Aker,Astennu,Horus,,Khonsu's Reach,Amon,Heru-Khu,Mihos's Claw,,,Amon-Ra,,,,,Imhotep's Genius,Imhotep's Light,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Beketaten,Ankhefensekhmet,,"Menkaure,",The Grand Architect,,,Khnums Ram,,,,,,,Hieracon,,,,,,Sobek,Neith,Anuket's Hearth,Osiris,,,Sekhemus,Bennu,Shehbui,Set,,Revelation of Thoth,Horus,Thermuthis,Anubis's Gaze,,,Isis,,,,,Imhotep's Brilliance,Eye of Imhotep,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Benerib,Ankhkherednefer,,"Mentuhotep,",Tamer of Worlds,,,Shus Tempest,,,,,,,Avaris,,,,,,Anhur,Anhur,Anuket's Bounty,Ra,,,Qebeḥsenuf,Geb,Ba'alat Gebal,Selkis,,Thoth's Secret,Selkis,Meret,Menhit's Bite,,,Sekhmet,,,,,Eye of Thoth,Thoth's Brilliance,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Betrest,Anpuhotep,,"Tao,",Utterance of Osiris,,,Bastets Grace,,,,,,,Tayu-djayet,,,,,,Ra,Selkis,Rite of Hapi,Sekhmet,,,Nebt-Shefshefet,Hapi,Āpesh,Aten,,Khonsu's Utterance,Ra,Heret-Kau,Fury of Aten,,,Aten,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Bintanath,Apophis,,"Kamose,",The Fighting Hawk,,,Gebs Stone,,,,,,,Djedet,,,,,,Bastet,Ra,Nepit's Will,Selkis,,,Pelican,Khepri,Sepa,Amon,,Thoth's Horizon,Amon-Ra,Ihy,Rite of Osiris,,,Montu,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Djedjetamen,Ay,,"Ptolemy,",Lord of the Stars,,,Anhurs Arrow,,,,,,,Edfu,,,,,,Sekhmet,Sekhmet,Hapi's Bounty,Set,,,Neferhotep,Khonsu,Kagemni,Amon-Ra,,Khonsu's Horizion,Isis,Nebt-Mat,Osiris's Vigil,,,Bastet,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Djefatnebti,Bakenkhonsu,,"Inaros,",Osirian Protector,,,Horuss Call,,,,,,,Khem,,,,,,Anubis,Amon,Isis's Will,Sobek,,,Anti,Maahes,Serket,Montu,,,Neith,An-tcher-f,Sekhmet's Bite,,,Ra,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Djeseretnebti,Bakenranef,,"Seti,",Guardian of the Gods,,,Anukets Bow,,,,,,,Khasut,,,,,,,,Rite of Nepit,,,,Heset,Nefertum,Sepṭu,,,,,Tjenmyt,Horus's Shield,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Duathathor,Bardiya,,,Blessed of Isis,,,Satets Pioneers,,,,,,,Hebenu,,,,,,,,Renenutet's Hearth,,,,Shenty,Neper,Baal,,,,,Heptet,Sekhmet's Chariot,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Gautseshen,Baufra,,,Eye of Horus,,,Hapis Deluge,,,,,,,Qus,,,,,,,,Hapi's Will,,,,Ha,Nemty,Perit,,,,,Sebiumeker,Sekhmet's Roar,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Haankhes,Chephren,,,,,,Amuns Chosen,,,,,,,Thinis,,,,,,,,Rite of Hathor,,,,Ra-ateni,Shu,Ahti,,,,,Nebethetepet,Bastet's Vigil,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Hathorhotep,Djedefhor,,,,,,Wadjs Wave,,,,,,,Zau,,,,,,,,Renenutet's Bounty,,,,Meretseger,Sopdu,Werethekau,,,,,Amathaunta,Tefnut's Claw,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Hbnj,Djedefptah,,,,,,Atums Brilliance,,,,,,,Pachnamunis,,,,,,,,Hapi's Hearth,,,,Wepwawet,Wadj-wer,Mafdet,,,,,Anhefta,Montu's Javelin,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Hbny,Djedefre,,,,,,Sobeks Bite,,,,,,,Nekhen,,,,,,,,Earth of Tatenen,,,,Shed,Bat,Ṭuamutef,,,,,Sopdet,Aten's Gaze,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Hekenuhedjet,Djedhor,,,,,,Amunets Heirs,,,,,,,Shashotep,,,,,,,,Tatenen's Bounty,,,,Sopdet,Kek,Esna,,,,,Jupiter-Amun,Fury of Horus,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Henutmehyt,Djedkare,,,,,,Anubiss Scourge,,,,,,,Per-Wadjet,,,,,,,,Rite of Isis,,,,Qebui,Tatenen,Renpet,,,,,Nefertari,Bastet's Gaze,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Henutmire,Djehutihotep,,,,,,Neiths Hunt,,,,,,,Iken,,,,,,,,Nepit's Hearth,,,,Amu-Aa,Hapi,Min,,,,,Meretseger,Selkis's Vigil,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Henutsekhemu,Djoser,,,,,,Montus Khopesh,,,,,,,Djerty,,,,,,,,Hathor's Hearth,,,,Gengen Wer,,Themath,,,,,Qetesh,Bastet's Dagger,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Henutsen,Harsiese,,,,,,Thoths Wisdom,,,,,,,Herwer,,,,,,,,Tatenen's Hearth,,,,Abu,,Sed,,,,,An-a-f,Horus's Fury,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Henuttadesh,Heqaib,,,,,,Tefnuts Typhoon,,,,,,,Canopus,,,,,,,,Rite of Renenutet,,,,Sekhat-Hor,,Qererti,,,,,Sepa,Anubis's Fury,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Henuttamehu,Hordjedef,,,,,,Khonsus Halo,,,,,,,Shedet,,,,,,,,Anuket's Will,,,,Apedemak,,Abu,,,,,Tutu,Sobek's Vigil,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Henuttaneb,Horemheb,,,,,,Ras Radiance,,,,,,,Soknopaiou Nesos,,,,,,,,,,,,Usit,,Petbe,,,,,Wepset,Aten's Spear,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Henuttawy,Hotepsekhemwy,,,,,,Atens Light,,,,,,,Ipu,,,,,,,,,,,,Sepes,,Ba-Pef,,,,,Iw,Mihos's Roar,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Herneith,Ibi,,,,,,Osiriss Reborn,,,,,,,Koptos,,,,,,,,,,,,Heru-Khu,,Apet,,,,,Amenhotep,Set's Arrow,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Hetepenamun,Idu,,,,,,Maats Justice,,,,,,,Chenem-Waset,,,,,,,,,,,,Sebeg,,Tenenet,,,,,Apep,Sekhmet's Javelin,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Hetepheres,Imoúthēs,,,,,,Wadjets Hiss,,,,,,,Per-Atum,,,,,,,,,,,,Qetesh,,Heset,,,,,Min,Pakhet's Mane,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Hetephernebti,Inykhnum,,,,,,,,,,,,,Pi-Ramesses,,,,,,,,,,,,Heneb,,Seker,,,,,Uneg/Weneg,Fury of Bastet,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Hrere,Inyotef,,,,,,,,,,,,,Naqada,,,,,,,,,,,,Hert-ketit-s,,Mehit,,,,,Fetket,Fury of Amon-Ra,,,,,,,,,,,,,,,
