namelist_title,namelist_author,namelist_id,an_assault_army,an_clone_army,an_defense_army,an_gene_warrior_army,an_industrial_army,an_machine_assault_1,an_machine_assault_2,an_machine_assault_3,an_machine_defense,an_occupation_army,an_postatomic_army,an_primitive_army,an_psionic_army,an_robotic_army,an_robotic_defense_army,an_robotic_occupation_army,an_slave_army,an_undead_army,an_xenomorph_army,cn_first_names_female,cn_first_names_male,cn_regnal_first_names_female,cn_regnal_first_names_male,cn_regnal_second_names,cn_second_names,fn_fleet_names,fn_random_names,pn_alpine_planets,pn_arctic_planets,pn_arid_planets,pn_continental_planets,pn_desert_planets,pn_gaia_planets,pn_generic_planets,pn_ocean_planets,pn_savannah_planets,pn_tropical_planets,pn_tundra_planets,sn_battle_cruiser,sn_battleship,sn_carrier,sn_colonizer,sn_colossus,sn_constructor,sn_corvette,sn_cruiser,sn_destroyer,sn_dreadnought,sn_exploration_ship,sn_flagship,sn_frigate,sn_generic,sn_headquarters,sn_ion_cannon,sn_juggernaut,sn_military_station_large,sn_military_station_medium,sn_military_station_small,sn_science,sn_sponsored_colonizer,sn_strike_cruiser,sn_titan,sn_transport,sn_xl_cannon
Ancient Greek (ONL),osiris,ancientgreek, Stratos Prosvoli $R$, Stratos Klonos $R$, Stratos Amyna $R$, Stratos Gonidiakos Polemos $R$, Stratos Viomichanikos $R$, Stratos Epithesi Michanis $R$, Stratos Epithesi Michanis $R$, Stratos Epithesi Michanis $R$, Stratos Amyna Michanis $R$, Stratos Katochi $R$, Stratos Meta-Atomiki $R$, Stratos Protogonos $R$, Stratos Psionikos $R$, Stratos Rompotiki Epithesi $R$, Stratos Rompotiki Amyna $R$, Stratos Rompotiki Apascholisi $R$,Stratos Doulos $R$,Stratos Apethanta $R$, Stratos Xenomorfos $R$,Agatha,Hermes,Georgina,Asclepiodotus,Zeus,Milionis,Stolos $R$,,,,,,,,Athens,,,,,Dionysus's Will,Dionysus,Hephaestus,Hestia,Zeus,Hephaestus,Harmonia's Xiphon,Voice of Hermes,Harmonia's Xiphon,Dionysus,Pan,Poseidon,Harmonia's Xiphon,Centaur,Kephalaion,Zeus's Lightning,Hades,Akropolis,Strategeion,Phrourion,Eileithyia,Hestia,Hermes's Command,Dionysus,Trireme,Zeus's Thunderbolt
,,,,,,,,,,,,,,,,,,,,,,Aglaia,Aeacus,Thelma,Lycomedes,Hera,Chatzikonstantinou,,,,,,,,,Sparta,,,,,Dionysus's Spear,Hera,Hestia,Eunomia,Poseidon,Daedalus,Calchas,Will of Hestia,Calchas,Hera,Hecate,Zeus,Calchas,Minotaur,,,Poseidon,,,,Aristaeus,Eunomia,Aphrodite's Arrow,Hera,,
,,,,,,,,,,,,,,,,,,,,,,Agne,Thetis,Pythodorida,Perdiccas,Poseidon,Eleftheriou,,,,,,,,,Corinth,,,,,Hestia's Courage,Hestia,Athena,Boreas,Hades,Epeius,Odysseus,Dionysus's Dagger,Odysseus,Hestia,Persephone,Hades,Odysseus,Chimera,,,Zeus,,,,Hecate,Boreas,Athena's Xiphon,Hestia,,
,,,,,,,,,,,,,,,,,,,,,,Alcestis,Eros,Ceres,Cimon,Demeter,Fragkos,,,,,,,,,Syracuse,,,,,Hermes's Arrow,Demeter,Demeter,Demeter,,Erechtheus,Breath of Adrestia,Dionysus's Steed,Breath of Adrestia,Demeter,Hermes Trismegistus,,Breath of Adrestia,Hydra,,,,,,,Prometheus,Demeter,Hermes's Chariot,Demeter,,
,,,,,,,,,,,,,,,,,,,,,,Alethea,Atlas,Theodora,Anaxagoras,Athena,Kyrou,,,,,,,,,Aegina,,,,,Hermes's Will,Athena,Dionysus,Hermes,,Icarus,Nemea,Athena's Steed,Nemea,Athena,Demeter,,Nemea,Sphinx,,,,,,,Metis,Hermes,Athena's Sarissa,Athena,,
,,,,,,,,,,,,,,,,,,,,,,Althaia,Tycho,Erasma,Chrysippus,Apollo,Karachaliou,,,,,,,,,Rhodes,,,,,Word of Demeter,Apollo,Hera,Amphictyonis,,Metis,Cadmus,Spirit of Ares,Cadmus,Apollo,Aeolus,,Cadmus,Cyclops,,,,,,,Helios,Amphictyonis,Aphrodite's Doru,Apollo,,
,,,,,,,,,,,,,,,,,,,,,,Amalthea,Kit,Roxana,Agesilaus,Artemis,Oikonomidou,,,,,,,,,Argos,,,,,Aphrodite's Fist,Artemis,Apollo,Hecate,,Palamedes,Voice of Alala,Hermes's Rage,Voice of Alala,Artemis,Eris,,Voice of Alala,Harpy,,,,,,,Mnemosyne,Hecate,Hera's Haplon,Artemis,,
,,,,,,,,,,,,,,,,,,,,,,Amara,Ercole,Olympias,Iphicrates,Ares,Baros,,,,,,,,,Eretria,,,,,Vision of Ares,Ares,Ares,Nike,,Poseidon,Enyo's Dagger,Spirit of Demeter,Enyo's Dagger,Ares,Proteus,,Enyo's Dagger,Gorgon,,,,,,,Asclepius,Nike,Hermes's Rage,Ares,,
,,,,,,,,,,,,,,,,,,,,,,Anaxandra,Kristofr,Eldora,Alexander,Aphrodite,Bekiaris,,,,,,,,,Elis,,,,,Artemis's Rage,Aphrodite,Hermes,Pan,,Talos,Anteros's Vigil,Hestia's Strike,Anteros's Vigil,Aphrodite,Circe,,Anteros's Vigil,Satyr,,,,,,,Ananke,Pan,Athena's Dagger,Aphrodite,,
,,,,,,,,,,,,,,,,,,,,,,Andromache,Agamemnon,Agrippina,Pausanias,Hephaestus,Linard,,,,,,,,,Abdera,,,,,Artemis's Spear,Hephaestus,Aphrodite,Triptolemus,,Tantalus,Enyo's Steed,Aphrodite's Sarissa,Enyo's Steed,Hephaestus,Charybdis,,Enyo's Steed,Nymph,,,,,,,Thoth,Triptolemus,Hermes's Xiphon,Hephaestus,,
,,,,,,,,,,,,,,,,,,,,,,Andromeda,Philoctetes,Laodice,Cleomenes,Hermes,Argyris,,,,,,,,,Abydos,,,,,Hermes's Command,Hermes,Artemis,,,,Spirit of Alala,Artemis's Will,Spirit of Alala,Hermes,,,Spirit of Alala,Siren,,,,,,,,,Artemis's Spear,Hermes,,
,,,,,,,,,,,,,,,,,,,,,,Anthea,Sebastiano,Pharnace,Mithridates,Dionysus,Papantoniou,,,,,,,,,Acanthus,,,,,Hera's Shield,,,,,,Nike's Command,Athena's Shield,Nike's Command,,,,Nike's Command,Griffin,,,,,,,,,Breath of Dionysus,,,
,,,,,,,,,,,,,,,,,,,,,,Antigone,Jason,Karin,Philip,Hestia,Tsakonas,,,,,,,,,Acharnae,,,,,Hephaestus's Sarissa,,,,,,Makhai's Sarissa,Hermes's Fist,Makhai's Sarissa,,,,Makhai's Sarissa,Phoenix,,,,,,,,,Hephaestus's Spear,,,
,,,,,,,,,,,,,,,,,,,,,,Apollonia,Eratosthenes,Calli,Aristomachus,Persephone,Peppa,,,,,,,,,Aegium,,,,,Voice of Demeter,,,,,,Nike,Hestia's Vigil,Nike,,,,Nike,Hippocampus,,,,,,,,,Vision of Dionysus,,,
,,,,,,,,,,,,,,,,,,,,,,Arete,Damien,Majorie,Antigonus,Hades,Vlachaki,,,,,,,,,Aenus,,,,,Hephaestus's Dagger,,,,,,Echemus,Spirit of Hermes,Echemus,,,,Echemus,Mermaid,,,,,,,,,Artemis's Haplon,,,
,,,,,,,,,,,,,,,,,,,,,,Ariadne,Geryon,Zenobia,Themistocles,Eros,Christou,,,,,,,,,Amphipolis,,,,,Demeter's Xiphon,,,,,,Vision of Nike,Voice of Hera,Vision of Nike,,,,Vision of Nike,Dryad,,,,,,,,,Dionysus's Arrow,,,
,,,,,,,,,,,,,,,,,,,,,,Artemisia,Basile,Pelagia,Demaratus,Iris,Sagona,,,,,,,,,Andros,,,,,Breath of Aphrodite,,,,,,Philoctetes,Aphrodite's Dagger,Philoctetes,,,,Philoctetes,Faun,,,,,,,,,Hera's Will,,,
,,,,,,,,,,,,,,,,,,,,,,Aspasia,Asclepius,Amastris,Epaminondas,Nike,Balaban,,,,,,,,,Aphidnae,,,,,Hermes's Chariot,,,,,,Voice of Kydoimos,Vision of Hephaestus,Voice of Kydoimos,,,,Voice of Kydoimos,Manticore,,,,,,,,,Athena's Strike,,,
,,,,,,,,,,,,,,,,,,,,,,Athanasia,Priam,Phila,Ptolemy,Helios,Daskalakis,,,,,,,,,Apollonia,,,,,Will of Athena,,,,,,Promakhos,Vision of Demeter,Promakhos,,,,Promakhos,Cerberus,,,,,,,,,Apollo's Doru,,,
,,,,,,,,,,,,,,,,,,,,,,Atherina,Peleus,Varvara,Euphaes,Selene,Argyropoulou,,,,,,,,,Asine,,,,,Will of Hephaestus,,,,,,Nike's Doru,Dionysus's Rage,Nike's Doru,,,,Nike's Doru,Pegasus,,,,,,,,,Dionysus's Fist,,,
,,,,,,,,,,,,,,,,,,,,,,Atalanta,Hippocrates,Elodie,Attalus,,Giannis,,,,,,,,,Assus,,,,,Spirit of Hestia,,,,,,Agapenor,Athena's Sarissa,Agapenor,,,,Agapenor,Basilisk,,,,,,,,,Hestia's Kopis,,,
,,,,,,,,,,,,,,,,,,,,,,Athena,Oedipus,Arsinoe,Leonidas,,Contos,,,,,,,,,Brauron,,,,,Dionysus's Shield,,,,,,Harmonia's Will,Artemis's Rage,Harmonia's Will,,,,Harmonia's Will,Empusa,,,,,,,,,Word of Artemis,,,
,,,,,,,,,,,,,,,,,,,,,,Atropos,Menelaus,Appoline,Cassander,,Karagiorgos,,,,,,,,,Byzantium,,,,,Demeter's Sword,,,,,,Voice of Eris,Hephaestus's Arrow,Voice of Eris,,,,Voice of Eris,Kraken,,,,,,,,,Ares's Kopis,,,
,,,,,,,,,,,,,,,,,,,,,,Briseis,Pancratius,Adonia,Perseus,,Vasileiadis,,,,,,,,,Calchedon,,,,,Breath of Hermes,,,,,,Alala's Spear,Demeter's Sword,Alala's Spear,,,,Alala's Spear,Lamia,,,,,,,,,Hand of Hephaestus,,,
,,,,,,,,,,,,,,,,,,,,,,Brynhildr,Amphion,Lysandra,Nabis,,Mavropoulos,,,,,,,,,Calydon,,,,,Ares's Spear,,,,,,Peleus,Hermes's Javelin,Peleus,,,,Peleus,Scylla,,,,,,,,,Voice of Athena,,,
,,,,,,,,,,,,,,,,,,,,,,Calliope,Chrysippus,Dionne,Thrasybulus,,Harris,,,,,,,,,Carystus,,,,,Hermes's Xiphon,,,,,,Eris's Sarissa,Artemis's Sarissa,Eris's Sarissa,,,,Eris's Sarissa,Echidna,,,,,,,,,Hephaestus's Dagger,,,
,,,,,,,,,,,,,,,,,,,,,,Calypso,Lysander,Caeneus,Diomedes,,Alexopoulos,,,,,,,,,Chalcis,,,,,Hera's Command,,,,,,Deimos's Vigil,Dionysus's Javelin,Deimos's Vigil,,,,Deimos's Vigil,Hecatonchires,,,,,,,,,Breath of Aphrodite,,,
,,,,,,,,,,,,,,,,,,,,,,Cassandra,Alexandro,Berenice,Leotychidas,,Markopoulos,,,,,,,,,Cnidus,,,,,Artemis's Command,,,,,,Alala's Command,Hephaestus's Fist,Alala's Command,,,,Alala's Command,Lernaean Hydra,,,,,,,,,Hera's Rage,,,
,,,,,,,,,,,,,,,,,,,,,,Celandine,Alkaios,Katya,Pelopidas,,Kontos,,,,,,,,,Cyme,,,,,Hera's Xiphon,,,,,,Word of Eris,Hermes's Vigil,Word of Eris,,,,Word of Eris,Muses,,,,,,,,,Hestia's Rage,,,
,,,,,,,,,,,,,,,,,,,,,,Chloris,Clio,Oria,Dionysius,,Takes,,,,,,,,,Cythera,,,,,Spirit of Athena,,,,,,Deimos's Steed,Hestia's Sword,Deimos's Steed,,,,Deimos's Steed,Naiad,,,,,,,,,Spirit of Athena,,,
,,,,,,,,,,,,,,,,,,,,,,Chrysanthe,Cadmus,Glaphyra,Xerxes,,Mihal,,,,,,,,,Decelea,,,,,Voice of Hermes,,,,,,Hand of Phobos,Ares's Rage,Hand of Phobos,,,,Hand of Phobos,Telchines,,,,,,,,,Apollo's Javelin,,,
,,,,,,,,,,,,,,,,,,,,,,Clio,Anteros,Ptolemy,Periander,,Alexopoulou,,,,,,,,,Delphi,,,,,Demeter's Steed,,,,,,Alala's Sarissa,Dionysus's Command,Alala's Sarissa,,,,Alala's Sarissa,Titans,,,,,,,,,Voice of Aphrodite,,,
,,,,,,,,,,,,,,,,,,,,,,Clymene,Kay,Amarande,Lachares,,Vasil,,,,,,,,,Demetrias,,,,,Will of Ares,,,,,,Deimos's Sword,Hermes's Xiphon,Deimos's Sword,,,,Deimos's Sword,Charybdis,,,,,,,,,Voice of Ares,,,
,,,,,,,,,,,,,,,,,,,,,,Clytemnestra,Heracles,Stratonice,Agathocles,,Kontogianni,,,,,,,,,Didyma,,,,,Hera's Doru,,,,,,Spirit of Enyo,Artemis's Spear,Spirit of Enyo,,,,Spirit of Enyo,Cretan Bull,,,,,,,,,Dionysus's Steed,,,
,,,,,,,,,,,,,,,,,,,,,,Damaris,Turannos,Xylona,Nicomedes,,Mallios,,,,,,,,,Dodona,,,,,Hera's Sarissa,,,,,,Adrestia's Vigil,Artemis's Xiphon,Adrestia's Vigil,,,,Adrestia's Vigil,Minyades,,,,,,,,,Hephaestus's Will,,,
,,,,,,,,,,,,,,,,,,,,,,Daphne,Antaeus,Rhodogune,Gorgidas,,Sarri,,,,,,,,,Dyme,,,,,Hermes's Haplon,,,,,,Alala's Steed,Hestia's Haplon,Alala's Steed,,,,Alala's Steed,Orpheus,,,,,,,,,Athena's Kopis,,,
,,,,,,,,,,,,,,,,,,,,,,Deianeira,Oreias,Dice,Archelaus,,Athanas,,,,,,,,,Eleusis,,,,,Apollo's Kopis,,,,,,Discordia,Will of Hermes,Discordia,,,,Discordia,Pan,,,,,,,,,Athena's Fist,,,
,,,,,,,,,,,,,,,,,,,,,,Demetria,Anaxagoras,Lizann,Zopyrus,,Petridis,,,,,,,,,Ephesus,,,,,Apollo's Vigil,,,,,,Phobos's Sword,Hand of Artemis,Phobos's Sword,,,,Phobos's Sword,Talos,,,,,,,,,Apollo's Sword,,,
,,,,,,,,,,,,,,,,,,,,,,Dione,Miltiades,Damaris,Herod,,Papanastasiou,,,,,,,,,Erythrae,,,,,Apollo's Arrow,,,,,,Makhai's Kopis,Vision of Hermes,Makhai's Kopis,,,,Makhai's Kopis,Graeae,,,,,,,,,Athena's Sword,,,
,,,,,,,,,,,,,,,,,,,,,,Doris,Melanippus,Julia,Aristodemus,,Christopoulos,,,,,,,,,Gortyn,,,,,Ares's Vigil,,,,,,Makhai's Sword,Hera's Javelin,Makhai's Sword,,,,Makhai's Sword,Hesperides,,,,,,,,,Aphrodite's Will,,,
,,,,,,,,,,,,,,,,,,,,,,Echo,Hippocampus,Coralina,Eumenes,,Emmanouilidou,,,,,,,,,Gortys,,,,,Breath of Demeter,,,,,,Perseus,Breath of Aphrodite,Perseus,,,,Perseus,Silenus,,,,,,,,,Hephaestus's Rage,,,
,,,,,,,,,,,,,,,,,,,,,,Eirene,Artimis,Cleopatra,Aristippus,,Mavros,,,,,,,,,Halicarnassus,,,,,Artemis's Vigil,,,,,,Will of Alala,Will of Hera,Will of Alala,,,,Will of Alala,Typhon,,,,,,,,,Hand of Hera,,,
,,,,,,,,,,,,,,,,,,,,,,Electra,Damion,Calypso,Demetrius,,Arvanitaki,,,,,,,,,Heraclea,,,,,Ares's Dagger,,,,,,Nike's Javelin,Ares's Will,Nike's Javelin,,,,Nike's Javelin,Amphisbaena,,,,,,,,,Hephaestus's Sarissa,,,
,,,,,,,,,,,,,,,,,,,,,,Eleni,Glaucus,Mellisa,Lysimachus,,Pavlidis,,,,,,,,,Hermione,,,,,Vision of Athena,,,,,,Iolaus,Hermes's Will,Iolaus,,,,Iolaus,Echeneis,,,,,,,,,Ares's Rage,,,
,,,,,,,,,,,,,,,,,,,,,,Elpis,Ares,Penine,Seleucus,,Maragkos,,,,,,,,,Ialysus,,,,,Aphrodite's Command,,,,,,Adrestia,Ares's Doru,Adrestia,,,,Adrestia,Ophiotaurus,,,,,,,,,Hera's Sword,,,
,,,,,,,,,,,,,,,,,,,,,,Emilia,Tyndareus,Melita,Aristaeus,,Dimakis,,,,,,,,,Iassus,,,,,Aphrodite's Kopis,,,,,,Hand of Makhai,Hermes's Spear,Hand of Makhai,,,,Hand of Makhai,Pythia,,,,,,,,,Hera's Command,,,
,,,,,,,,,,,,,,,,,,,,,,Enyo,Cronus,Eurydice,Autolycus,,Konstantopoulos,,,,,,,,,Ithaca,,,,,Voice of Hephaestus,,,,,,Eris's Javelin,Hand of Athena,Eris's Javelin,,,,Eris's Javelin,,,,,,,,,,Hestia's Chariot,,,
,,,,,,,,,,,,,,,,,,,,,,Eos,Iolaus,Catriona,Melanthus,,Georgiou,,,,,,,,,Lampsacus,,,,,Aphrodite's Shield,,,,,,Astacus,Vision of Hestia,Astacus,,,,Astacus,,,,,,,,,,Hestia's Command,,,
,,,,,,,,,,,,,,,,,,,,,,Eudora,Hypnos,,Hipparchus,,Karampela,,,,,,,,,Larissa,,,,,Hephaestus's Haplon,,,,,,Nike,Word of Artemis,Nike,,,,Nike,,,,,,,,,,Ares's Command,,,
,,,,,,,,,,,,,,,,,,,,,,Eudoxia,Lynceus,,,,Kaloudi,,,,,,,,,Lepreum,,,,,Hermes's Vigil,,,,,,Makhai's Chariot,Apollo's Dagger,Makhai's Chariot,,,,Makhai's Chariot,,,,,,,,,,Demeter's Dagger,,,
,,,,,,,,,,,,,,,,,,,,,,Eumelia,Plutarch,,,,Kalogeropoulos,,,,,,,,,Lindus,,,,,Aphrodite's Javelin,,,,,,Eris's Shield,Artemis's Sword,Eris's Shield,,,,Eris's Shield,,,,,,,,,,Dionysus's Doru,,,
,,,,,,,,,,,,,,,,,,,,,,Euphemia,Alexander,,,,Varelas,,,,,,,,,Locri,,,,,Dionysus's Courage,,,,,,Adrestia's Fist,Artemis's Fist,Adrestia's Fist,,,,Adrestia's Fist,,,,,,,,,,Apollo's Strike,,,
,,,,,,,,,,,,,,,,,,,,,,Eurydice,Achilles,,,,Barberis,,,,,,,,,Mantinea,,,,,Athena's Sword,,,,,,Loxias,Demeter's Chariot,Loxias,,,,Loxias,,,,,,,,,,Hephaestus's Kopis,,,
,,,,,,,,,,,,,,,,,,,,,,Eurykleia,Odysseus,,,,Vergos,,,,,,,,,Marathon,,,,,Vision of Hestia,,,,,,Kydoimos's Vigil,Hephaestus's Dagger,Kydoimos's Vigil,,,,Kydoimos's Vigil,,,,,,,,,,Artemis's Doru,,,
,,,,,,,,,,,,,,,,,,,,,,Galene,Aristaeus,,,,Economides,,,,,,,,,Massila,,,,,Apollo's Spear,,,,,,Breath of Harmonia,Hephaestus's Command,Breath of Harmonia,,,,Breath of Harmonia,,,,,,,,,,Apollo's Rage,,,
,,,,,,,,,,,,,,,,,,,,,,Galinthias,Alistair,,,,Kamber,,,,,,,,,Megalopolis,,,,,Apollo's Javelin,,,,,,Ceneus,Hestia's Shield,Ceneus,,,,Ceneus,,,,,,,,,,Athena's Doru,,,
,,,,,,,,,,,,,,,,,,,,,,Harmonia,Jorenr,,,,Voulgarakis,,,,,,,,,Megara,,,,,Hephaestus's Sword,,,,,,Nike's Sword,Hephaestus's Doru,Nike's Sword,,,,Nike's Sword,,,,,,,,,,Hephaestus's Doru,,,
,,,,,,,,,,,,,,,,,,,,,,Hecate,Grigor,,,,Roumelioti,,,,,,,,,Messene,,,,,Hestia's Doru,,,,,,Enyo's Javelin,Dionysus's Will,Enyo's Javelin,,,,Enyo's Javelin,,,,,,,,,,Apollo's Dagger,,,
,,,,,,,,,,,,,,,,,,,,,,Hedone,Demetrius,,,,Moschos,,,,,,,,,Methone,,,,,Athena's Command,,,,,,Hand of Adrestia,Spirit of Aphrodite,Hand of Adrestia,,,,Hand of Adrestia,,,,,,,,,,Hephaestus's Vigil,,,
,,,,,,,,,,,,,,,,,,,,,,Hestia,Alastair,,,,Zafeiri,,,,,,,,,Miletus,,,,,Hestia's Chariot,,,,,,Vision of Makhai,Hermes's Sword,Vision of Makhai,,,,Vision of Makhai,,,,,,,,,,Will of Demeter,,,
,,,,,,,,,,,,,,,,,,,,,,Hippolyta,Attis,,,,Barbas,,,,,,,,,Mylasa,,,,,Vision of Aphrodite,,,,,,Iphitus,Aphrodite's Courage,Iphitus,,,,Iphitus,,,,,,,,,,Spirit of Ares,,,
