namelist_title,namelist_author,namelist_id,an_assault_army,an_clone_army,an_defense_army,an_gene_warrior_army,an_industrial_army,an_machine_assault_1,an_machine_assault_2,an_machine_assault_3,an_machine_defense,an_occupation_army,an_postatomic_army,an_primitive_army,an_psionic_army,an_robotic_army,an_robotic_defense_army,an_robotic_occupation_army,an_slave_army,an_undead_army,an_xenomorph_army,cn_first_names_female,cn_first_names_male,cn_regnal_first_names_female,cn_regnal_first_names_male,cn_regnal_second_names,cn_second_names,fn_fleet_names,fn_random_names,pn_alpine_planets,pn_arctic_planets,pn_arid_planets,pn_continental_planets,pn_desert_planets,pn_gaia_planets,pn_generic_planets,pn_ocean_planets,pn_savannah_planets,pn_tropical_planets,pn_tundra_planets,sn_battle_cruiser,sn_battleship,sn_carrier,sn_colonizer,sn_colossus,sn_constructor,sn_corvette,sn_cruiser,sn_destroyer,sn_dreadnought,sn_exploration_ship,sn_flagship,sn_frigate,sn_generic,sn_headquarters,sn_ion_cannon,sn_juggernaut,sn_military_station_large,sn_military_station_medium,sn_military_station_small,sn_science,sn_sponsored_colonizer,sn_strike_cruiser,sn_titan,sn_transport,sn_xl_cannon
Arabian (ONL),osiris,arabian,$ORD$ Jaysh Alhujum,$ORD$ Aljaysh Almustansakh,$ORD$ Jaysh Aldifae,$ORD$ Jaysh Almuharib Aljinii,$ORD$ Jaysh Alsinaeiu,$ORD$ Jaysh Hujum Ala,$ORD$ Jaysh Hujum Ala,$ORD$ Jaysh Hujum Ala,$ORD$ Jaysh Aldifae Alali,$ORD$ Jaysh Alaihtilal,$ORD$ Jaysh Ma Baed Aldharaat,$ORD$ Jaysh Bidayiy,$ORD$ Jaysh Bisyuni,$ORD$ Jaysh iinsan Ali,$ORD$ Jaysh iinsan Ali Difae,$ORD$ Jaysh iinsan Ali al-Aihtilal ,$ORD$ Jaysh al-Eubayd ,$ORD$ Jaysh Mayt Hay ,$ORD$ Jaysh al-Kayin al-Fadayiyun ,Aaliyah,Abbas,Aisha,Abd ar-Rahman,al-Adid,Abadi,$ORD$ Ustul ,,,,,,,,Cairo,,,,,Al-Malik,Al-Mustansir,Al-Mutadid Billah,Nile,Ayyubid,Sahara,Qutaybah ibn Muslim,Nasser,Iqbal,Al-Mustadi Billah,Al-Farabi,Saladin,Anas ibn Malik,Scimitar,Maqara,Midfae,Mamluk,Qaleat Easkaria,Mahatat Easkaria,Markaz Easkariun,Al-Farabi,Yarmouk,Mohammed VI,Al-Mustansir,Bucephalus,Midfae Kabir
,,,,,,,,,,,,,,,,,,,,,,Adara,Abdul,Fatima,Ali,al-Adil I,Abboud,,,,,,,,,Baghdad,,,,,Al-Ahmad,Al-Mu'tazz Billah,Al-Mu'tadhir,Euphrates,Ghaznavid,Sinai,Mohammed Dib,Sadat,Jinnah,Al-Mutawakkil al-Mawsili,Al-Battani ,Abbasid,Al-Radi,Shamsir,,,Tulunid,,,,Al-Battani ,Wadi Rum,Al-Rashidi,Al-Mu'tazz Billah,Al Khamsa,
,,,,,,,,,,,,,,,,,,,,,,Afja,Abid,Hafsah,Ali,al-Aziz,Abdallah,,,,,,,,,Riyadh,,,,,Al-Majid,Al-Zahir,Al-Muqtafi,Tigris,Fatimid,Toubkai,Niazi,Mubarak,Massoud,Al-Mu'tasim Billah,Ibn Sina,Fatimid,Nizar Qabbani,Acinaces,,,Ayyubid,,,,Ibn Sina,Karun,Al-Sabah,Al-Zahir,Mameluke,
,,,,,,,,,,,,,,,,,,,,,,Aifa,Abu Hurayrah,Juwayriyyah,Hamad,al-Aziz Ghiyath al-Din,Ahmad,,,,,,,,,Alexandria,,,,,Al-Mahdi,Al-Hadi,Umar ibn al-Khattab,Litani,Umayyad,Sawda,Iqbal,El-Sisi,Tipu,Al-Muktafi,Al-Khwarizmi,Ayyubid,Ghazi,Kilij,,,Abbasid,,,,Al-Khwarizmi,Draa,Al-Sistani,Al-Hadi,Zayd,
,,,,,,,,,,,,,,,,,,,,,,Ainaz,Adam,Khadijah,Harun,al-Aziz Zahir al-Din Tughtigin,Ali,,,,,,,,,Dubai,,,,,Al-Muqrin,Al-Muktafi Billah,Al-Mustarshid Billah II,Orontes,Buyid,Negev,Bairam Khan,Farouk,Murad,Umar ibn al-Khattab,Omar Khayyam,Mamluk,Al-Wathiq,Pulwar,,,Ghaznavid,,,,Omar Khayyam,Sous,Al-Hamid,Al-Muktafi Billah,Sotamm,
,,,,,,,,,,,,,,,,,,,,,,Aisha,Adeem,Mariah,Hassan,al-Afdal,Almasi,,,,,,,,,Jeddah,,,,,Al-Hassan,Al-Nasir Muhammad,Al-Muntasir,Yarmouk,Seljuk,Dasht-e Lut,Zaid ibn Ali,Al Saud,Abbas,Al-Mu'tamid Billah,Al-Razi,Almohad,Al-Munastir,Talwar,,,Buyid,,,,Al-Razi,Guir,Ben Ali,Al-Nasir Muhammad,Shuwaiman Al Baher,
,,,,,,,,,,,,,,,,,,,,,,Aliyna,Adib,Maymunah,Hisham,al-Amin,Amari,,,,,,,,,Basrah,,,,,Al-Masri,Al-Mutawakkil,Uthman ibn Affan,Diyali,Tulunid,Nafud Desert,Abdulrahman al-Sudais,Bin Salman,Malik Ambar,Al-Muqtadir,Ibn Haiyan,Almoravid,Ibrahim,Yataghan,,,Rashidun,,,,Ibn Haiyan,Al-Batinah,Abdullah,Al-Mutawakkil,Nafada,
,,,,,,,,,,,,,,,,,,,,,,Alizha,Adil,Rayhanah,Hussein,al-Amir,Amin,,,,,,,,,Giza,,,,,Al-Hariri,Harun al-Rashid,Al-Muqallad,Al-Mukhaizna,Abbasid,Rub al-Khali,Nizar Qabbani,Al Maktoum,Niazi,Al-Mustanjid Billah,Al-Kindi ,Rashidun,Iqbal,Khanjar,,,Umayyad,,,,Al-Kindi ,Diyali,Al-Amiri,Harun al-Rashid,Hujjah,
,,,,,,,,,,,,,,,,,,,,,,Amal,Adnan,Ruqayya,Ibrahim,al-Ashraf,Antar,,,,,,,,,Sanaa,,,,,Al-Habashi,Al-Malik al-Nasir,Al-Mustakfi,Al-Batinah,Samanid,Dasht-e Kavir,Maysun bint Bahdal,Al Nahyan,Bairam Khan,Al-Qadir Billah,Al-Haytham,Tulunid,Abdullah ibn Masud,Kard,,,Almoravid,,,,Al-Haytham,Zarqa,Al-Tamimi,Al-Malik al-Nasir,Moniet El Nefous,
,,,,,,,,,,,,,,,,,,,,,,Amani,Afif,Safiyyah,Ismail,al-Din Ayubbi,Antoun,,,,,,,,,Beirut,,,,,Al-Tamimi,Al-Saffah,Al-Mustazhir,Jordan,Ottoman,Atlas,Abdullah ibn Umar,Al Khalifa,Amr ibn al-Aas,Al-Mu'tadhir,Ibn Zuhr,Idrisid,Maysun bint Bahdal,Khamaseen,,,Idrisid,,,,Ibn Zuhr,Wadi Mujib,Al-Karim Khalili,Al-Saffah,Ansata Ibn Halima,
