namelist_title,namelist_author,namelist_id,an_assault_army,an_clone_army,an_defense_army,an_gene_warrior_army,an_industrial_army,an_machine_assault_1,an_machine_assault_2,an_machine_assault_3,an_machine_defense,an_occupation_army,an_postatomic_army,an_primitive_army,an_psionic_army,an_robotic_army,an_robotic_defense_army,an_robotic_occupation_army,an_slave_army,an_undead_army,an_xenomorph_army,cn_first_names_female,cn_first_names_male,cn_second_names,cn_regnal_first_names_female,cn_regnal_first_names_male,cn_regnal_second_names,fn_fleet_names,fn_random_names,pn_generic_planets,pn_arid_planets,pn_desert_planets,pn_alpine_planets,pn_continental_planets,pn_savannah_planets,pn_ocean_planets,pn_arctic_planets,pn_tundra_planets,pn_tropical_planets,pn_gaia_planets,sn_generic,sn_corvette,sn_destroyer,sn_frigate,sn_cruiser,sn_battle_cruiser,sn_striker_cruiser,sn_battleship,sn_carrier,sn_dreadnought,sn_titan,sn_flagship,sn_juggernaut,sn_colossus,sn_colonizer,sn_sponsored_colonizer,sn_constructor,sn_exploration_ship,sn_science,sn_transport,sn_headquarters,sn_military_station_large,sn_military_station_medium,sn_military_station_small,sn_ion_cannon,sn_xl_cannon
Battlestar Galactica (ONL),osiris,bsg,$ORD$ Colonial Marines,$ORD$ Colonial Clones,$ORD$ Colonial Garrison,$ORD$ Colonial SpecOps,$ORD$ Corporate Army,$ORD$ Centurion Army,$ORD$ Centurion Army,$ORD$ Centurion Army,$ORD$ Centurion Garrison,$ORD$ Colonial Peacekeepers,$ORD$ Colonial Infantry,$ORD$ Freedom Fighters,$ORD$ Colonial PsiOps,$ORD$ Centurion Army,$ORD$ Centurion Garrison,$ORD$ Centurion Oppressors,$ORD$ Colonial Conscripts,$ORD$ Colonial Revenants,$ORD$ Colonial Xeno Army,Amanda,Abel,Adama,,,,$ORD$ Colonial Fleet,,Thanatos,,,Sagittaron,Caprica,,,Gemenon,Gemenon,,Kobol,Aegis,Aegis,Aegis,Aegis,Achilles,Achilles,Achilles,Pegasus,Pegasus,Pegasus,Pegasus,Galactica,Galactica,Galactica,Astral Queen,Delphi Corporation,Tylium,Demetrius,Demetrius,Colonial Heavy 798,Colonial Fleet Headquarters,Large Defense Platform,Medium Defense Platform,Small Defense Platform,Ion Cannon,Large Ion Cannon
,,,,,,,,,,,,,,,,,,,,,,Amber,Adama,Agathon,,,,,,Lyra,,,,Virgon,,,,,,Earth,Andromeda,Andromeda,Andromeda,Andromeda,Adamant,Adamant,Adamant,Valkyrie,Valkyrie,Valkyrie,Valkyrie,Valkyrie,Valkyrie,Valkyrie,Gideon,Virgon Express,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Amy,Anders,Anders,,,,,,Hadar,,,,Tauron,,,,,,,Apus,Apus,Apus,Apus,Andromache,Andromache,Andromache,Columbia,Columbia,Columbia,Columbia,,,,Cloud Nine,Caprica Interstellar,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Anastasia,Barolay,Baltar,,,,,,Castor,,,,,,,,,,,Aquarius,Aquarius,Aquarius,Aquarius,Andromeda,Andromeda,Andromeda,Atlantia,Atlantia,Atlantia,Atlantia,,,,Olympic Carrier,Graystone Industries,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Anatasia,Barolay,Biers,,,,,,Gemenon,,,,,,,,,,,Aquila,Aquila,Aquila,Aquila,Apollo,Apollo,Apollo,Cerberus,Cerberus,Cerberus,Cerberus,,,,,Hitei Kan,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Andrea,Barry,Burke,,,,,,Andromeda,,,,,,,,,,,Arcturus,Arcturus,Arcturus,Arcturus,Aquarius,Aquarius,Aquarius,Acropolis,Acropolis,Acropolis,Acropolis,,,,,Saggitron,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Angela,Biers,Cain,,,,,,Oberon,,,,,,,,,,,Ares,Ares,Ares,Ares,Aquila,Aquila,Aquila,Triton,Triton,Triton,Triton,,,,,Trillion Industries,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Angie,Brendan,Connor,,,,,,Djerba,,,,,,,,,,,Artemis,Artemis,Artemis,Artemis,Arachne,Arachne,Arachne,Rycon,Rycon,Rycon,Rycon,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Anya,Burke,Cottle,,,,,,Nibiru,,,,,,,,,,,Astra,Astra,Astra,Astra,Ares,Ares,Ares,Solaria,Solaria,Solaria,Solaria,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Athena,Connor,Dawson,,,,,,Xenon,,,,,,,,,,,Atlas,Atlas,Atlas,Atlas,Argus,Argus,Argus,Columbia,Columbia,Columbia,Columbia,,,,,,,,,,,,,,,
