namelist_title,namelist_author,namelist_id,an_assault_army,an_clone_army,an_defense_army,an_gene_warrior_army,an_industrial_army,an_machine_assault_1,an_machine_assault_2,an_machine_assault_3,an_machine_defense,an_occupation_army,an_postatomic_army,an_primitive_army,an_psionic_army,an_robotic_army,an_robotic_defense_army,an_robotic_occupation_army,an_slave_army,an_undead_army,an_xenomorph_army,cn_first_names_female,cn_first_names_male,cn_regnal_first_names_female,cn_regnal_first_names_male,cn_regnal_second_names,cn_second_names,fn_fleet_names,fn_random_names,pn_alpine_planets,pn_arctic_planets,pn_arid_planets,pn_continental_planets,pn_desert_planets,pn_gaia_planets,pn_generic_planets,pn_ocean_planets,pn_savannah_planets,pn_tropical_planets,pn_tundra_planets,sn_battle_cruiser,sn_battleship,sn_carrier,sn_colonizer,sn_colossus,sn_constructor,sn_corvette,sn_cruiser,sn_destroyer,sn_dreadnought,sn_exploration_ship,sn_flagship,sn_frigate,sn_generic,sn_headquarters,sn_ion_cannon,sn_juggernaut,sn_military_station_large,sn_military_station_medium,sn_military_station_small,sn_science,sn_sponsored_colonizer,sn_striker_cruiser,sn_titan,sn_transport,sn_xl_cannon
Medieval (ONL),osiris,medieval,$ORD$ Royal Knights,$ORD$ Footmen,$ORD$ Knights Guard,$ORD$ Berserkers,$ORD$ Footmen,$ORD$ Automata Knights,$ORD$ Automata Knights,$ORD$ Automata Knights,$ORD$ Automata Guard,$ORD$ Royal Garrison,$ORD$ Footmen,$ORD$ Peasant Levy,$ORD$ Royal Magus,$ORD$ Automata,$ORD$ Automata Guard,$ORD$ Automata Garrison,$ORD$ Janissaries,$ORD$ Revenant Army,$ORD$ Monstrum,Honoria,Nicholas,Matilda,William,Plantagenet,Potter,$ORD$ Royal Fleet,,Roncolo,Vyborg,Alhambra,Frasers,Siwa Oasis,Versailles,,Château d'If,,Sigiriya,Turaida,Godendag,William de la Pole,Joanot Martorell,Marco Polo,Arthur ,Filippo Brunelleschi,Katti,Katana,Bardiche,Baldwin I,Prince Henry,William,Falchion,,Chancery,Ballista,Arthur ,Citadel,Bastion,Bulwark,Adelard,Marco Polo,Crossbow,Beowulf,Vasco da Gama,Scorpio
,,,,,,,,,,,,,,,,,,,,,,Mirabelle,Geoffrey,Eleanor,Richard,Capet,Sadler,,,Miramare,Trosky,Shali,Pena,Qasr Al-Nil,Schönbrunn,,Conwy,,Kangla ,Oreshek,Zweilhander,Gawain,Jean de Dunois,Columbus,Saladin,Leonardo da Vinci,Bolas,Spetum,Baselard,Tor,Cortez,Hardrada,Broadsword,,,Mangonel,Saladin,,,,Al-Biruni,Verrazzano,Zweilhander,Lancelot,Ibn Battuta,Helepolis
,,,,,,,,,,,,,,,,,,,,,,Giselle,Humphrey,Isabella,Henry,Habsburg,Clark,,,Burg Hohenzollern,Gdov,Alcazaba,Regaleira,Bam,Chambord,,Cornet,,Morro de Sao Paulo,Vyborg,Langmesser,Gareth,Hugh de Lacy,Vasco da Gama,Lionheart,Robert de Luzarches,Machete,Kusarigama,Bastard Sword,Alfonso ,Pizarro,Saladin,Hwando,,,Catapult,William,,,,Al-Farabi,James Cook,Pollaxe,Lamorak,Erikson,Springald
,,,,,,,,,,,,,,,,,,,,,,Philippa,Everard,Catherine,Edward,Valois,Webster,,,Beseno,Marienburg,Ait Benhaddou,Larnach,El Badi,Neuschwanstein,,Craigievar,,Fasil Ghebbi,Kuusisto,Bardiche,Percival,Arturo Prat,Ibn Battuta,Charlemagne,Villard de Honnecourt,Sickle,Lance,Battle Axe,William de Warenne,Ponce de Leon,Suleiman,Kilij,,,Scorpio,Hardrada,,,,Al-Khwarizmi,Zheng He,Tizona,Tristan,Cabral,Trebuchet
,,,,,,,,,,,,,,,,,,,,,,Lavinia,Eudes,Elizabeth,John,Tudor,Bailey,,,Malcesine,Loket,Qal'at al-Bahrain,Lochleven,Rostamabad Qal'eh,Hampton Court,,Crusader,,Osaka ,Korela,War Hammer,Robert de Beaumont,William de la Pole,rikson,Ivan,Al-Farghani,Epee,Sallet,Bec de Corbin,El Cid,Erikson,Arthur ,Jian,,,Trebuchet,Suleiman,,,,Al-Razi,Prince Henry,Thracian pick,Godfrey ,Cabeza de Vaca,Ballista
,,,,,,,,,,,,,,,,,,,,,,Beatrice,Arnold,Margaret,Philip,Bourbon,Wright,,,Hohensalzburg,Viipuri,Krak des Chevaliers,Glamis,Ait-Ben-Haddou,Topkapi,,Criccieth,,Nizwa ,Tvrz,Greatsword,Gaheris,Tristan,Zheng He,Barbossa,Peter Parler,Saif,Tuck,Bhuj,Tristan,Vespucci,Edward,Spadroon,,,Springald,Lionheart,,,,Alhazen,Pizarro,Hache-gueule,Mordred,Vespucci,Sambuca
,,,,,,,,,,,,,,,,,,,,,,Eudora,Dietrich,Mary,Louis,Hohenzollern,Farmer,,,Grande,Lappeenranta,Alamut,Shugborough,Shali,El Escorial,,Culzean,,Aguada ,Vysehrad,Shotel,Geraint,Percival,Cabot,Suleiman,Giovanni di Simone,Shamshir,Pike,Bolas,Iwein,Ibn Battuta,Ivan,Smatchet,,,Helepolis,Gustav,,,,Aquinas,Ibn Battuta,Great Axe,William Wallace,Ponce de Leon,Onager
,,,,,,,,,,,,,,,,,,,,,,Edith,John,Joan,Charles,Hohenstaufen,Capper,,,Hohenschwangau,Kiev Pechersk Lavra,Beau,Warwick,Al-Rahma,Blenheim,,Dunnottar,,Mehrangarh,Vysoke Myto,Naginata,Owain,Bedevere,Vespucci,Gustav,Bertrand du Guesclin,Partisan,Romphaia,Broadsword,Brian Boru,Diaz,Gustav,Qaddara,,,Sambuca,Charlemagne,,,,Avicenna,Cabeza de Vaca,Chauve Souris,Kay,Prince Henry,Mangonel
,,,,,,,,,,,,,,,,,,,,,,Hester,Philip,Blanche,Ferdinand,Angevin,Burgess,,,Pontebba,Kozlov,Bou Inania Madrasa,Rothenburg,Dar al-Makhzen,Alhambra,,Eilean Donan,,Pena ,Vysebrod,Chauve Souris,Lancelot,Hawkwood,Prince Henry,Hardrada,Andrea Pisano,Gauntlet,Tachi,Cestus,Gaheris,Cabral,Charlemagne,Pala,,,Onager,Ivan,,,,Buridan,Erikson,Tonbogiri,Marshal,Zheng He,Catapult
,,,,,,,,,,,,,,,,,,,,,,Sabine,William,Philippa,James,Welf,Mason,,,Tures,Kastelholm,Takeda,Dunblane,Tafilelt,Windsor,,Fasil Ghebbi,,Royal  of Kandy,Trosky,Zhua,Vasco da Gama,Brian Boru,Cabral,Edward,Gerard of Cremona,Tegha,Tizona,Chakram,Hugh de Lacy,Magellan,Barbossa,Cestus,,,,Barbossa,,,,Grosseteste,Cortez,Spetum,Humphrey,Magellan,
