namelist_title,namelist_author,namelist_id,an_assault_army,an_clone_army,an_defense_army,an_gene_warrior_army,an_industrial_army,an_machine_assault_1,an_machine_assault_2,an_machine_assault_3,an_machine_defense,an_occupation_army,an_postatomic_army,an_primitive_army,an_psionic_army,an_robotic_army,an_robotic_defense_army,an_robotic_occupation_army,an_slave_army,an_undead_army,an_xenomorph_army,cn_first_names_female,cn_first_names_male,cn_regnal_first_names_female,cn_regnal_first_names_male,cn_regnal_second_names,cn_second_names,fn_fleet_names,fn_random_names,pn_alpine_planets,pn_arctic_planets,pn_arid_planets,pn_continental_planets,pn_desert_planets,pn_gaia_planets,pn_generic_planets,pn_ocean_planets,pn_savannah_planets,pn_tropical_planets,pn_tundra_planets,sn_battle_cruiser,sn_battleship,sn_carrier,sn_colonizer,sn_colossus,sn_constructor,sn_corvette,sn_cruiser,sn_destroyer,sn_dreadnought,sn_exploration_ship,sn_flagship,sn_frigate,sn_generic,sn_headquarters,sn_ion_cannon,sn_juggernaut,sn_military_station_large,sn_military_station_medium,sn_military_station_small,sn_science,sn_sponsored_colonizer,sn_strike_cruiser,sn_titan,sn_transport,sn_xl_cannon
Nature-Modern (ONL),osiris,natmodern,$ORD$ Emancipation Force,$ORD$ Replicant Peacekeepers,$ORD$ Protection Force,$ORD$ Special Peacekeeper Force,$ORD$ Corporate Peacekeeper Force,$ORD$ Mechanized Peacekeepers,$ORD$ Mechanized Peacekeepers,$ORD$ Mechanized Peacekeepers,$ORD$ Mechanized Protection Force,$ORD$ Peacekeeper Garrison,$ORD$ Peacekeepers,$ORD$ Peacekeeping Conscripts,$ORD$ Psi-Ops Peacekeepers,$ORD$ Automated Peacekeepers,$ORD$ Automated Protectors,$ORD$ Automated Peacekeeper Garrison,$ORD$ Peacekeeping Conscripts,,$ORD$ Xeno-Peacekeepers,Mia,Leo,,,,Smith,$ORD$ Armada,,Munich,Murmansk,Riyadh,Tokyo,Riyadh,Atlantis,Tokyo,Jakarta,Lagos,Jakarta,Murmansk,Falcon,Crocodile,Servals,Wildebeest,Hurricane,Beaver,Tarantula,Rattlesnake,Shrew,Thresher,Dolphin,Cyclone,Locust,Gazelle,,Spitting Cobra,Cyclone,,,,Dolphin,,Buzzard,Puma,,Spitting Cobra
,,,,,,,,,,,,,,,,,,,,,,Sofia,Noah,,,,Johnson,,,Milan,Norilsk,Lima,Seoul,Karachi,Asgard,Delhi,Tokyo,Accra,Manila,Norilsk,Steppe Eagle,Orca,Alligator,Ant,Typhoon,Otter,Black Widow,Crowned Eagle,Uromastyx,Cheetah,Humpback,Typhoon,Carribou,Oryx,,Archerfish,Avalanche,,,,Bonobo,,Caracara,Ocelot,,Archerfish
,,,,,,,,,,,,,,,,,,,,,,Charlotte,Ethan,,,,Lee,,,Zurich,Vorkuta,Jeddah,Shanghai,Baghdad,Avalon,Shanghai,Manila,Abidjan,Sao Paulo,Vorkuta,Death Adder,Hammerhead,Cougar,Termite,Cyclone,Termite,Mosquito,Moray,Chameleon,Ocelot,Beluga,Avalanche,Mongoose,Pigeon,,,Typhoon,,,,Octopus,,Osprey,Servals,,
,,,,,,,,,,,,,,,,,,,,,,Emma,Samuel,,,,Kim,,,Vienna,Salekhard,Mecca,Beijing,Tehran,El Dorado,Sao Paulo,Taipei,Nairobi,Mumbai,Naryan-Mar,Sparrowhawk,Bobcat,Jaguar,Bat,Avalanche,Weaver,Scarab,Black Mamba,Fire Ant,Crocodile,Pilot,Thunderstorm,Skink,Dove,,,Tsunami,,,,Raven,,Kite,Sevengill,,
,,,,,,,,,,,,,,,,,,,,,,Amelia,Oscar,,,,Garcia,,,Turin,Severodvinsk,Tehran,Istanbul,Dubai,Shambhala,Mumbai,Hanoi,Kumasi,Delhi,Salekhard,Eagle,Thresher,Margay,Penguin,Blizzard,Mailee,Wasp,Kestrel,Mongoose,Leopard,Narwhal,Tsunami,Fire Ant,Sparrow,,,Hurricane,,,,,,Hawk,Kodiak,,
,,,,,,,,,,,,,,,,,,,,,,Isabella,Adam,,,,Martinez,,,Geneva,Yakutsk,Mashhad,Moscow,Dammam,Hy-Brasil,Beijing,Singapore,Dar es Salaam,Dhaka,Dudinka,Marlin,Wobbegong,Orca,Flamingo,Tornado,Orb-Weaver,Hornet,Vulture,Arctic Fox,Alligator,Bowhead,Blizzard,Jellyfish,Robin,,,Tornado,,,,,,Owl,Great White,,
,,,,,,,,,,,,,,,,,,,,,,Luna,Xavier,,,,Jones,,,Innsbruck,Archangelsk,Medina,Madrid,Jeddah,Xanadu,Osaka,Hong Kong,Dakar,Karachi,Novy Urengoy,Vulture,Komodo,Cheetah,Prarie Dog,Tsunami,Prairee Dog,Yellowjacket,Marlin,Dragonfly,Great White,Squirrel,Tornado,Chuckwalla,Blue Jay,,,Blizzard,,,,,,Falcon,Crocodile,,
,,,,,,,,,,,,,,,,,,,,,,Aurora,Kai,,,,Nguyen,,,Grenoble,Hammerfest,Sana'a,Tehran,Casablanca,Agartha,Cairo,Saint Petersburg,Lusaka,Lagos,Apatity,Chimaera,Ocelot,Ocelot,Meerkat,Thunderstorm,Acromyrmex,Centipede,Steppe Eagle,Coyote,Sevengill,Chipmunk,Hurricane,Centipede,Hummingbird,,,Thunderstorm,,,,,,Krait,Warthog,,
,,,,,,,,,,,,,,,,,,,,,,Scarlett,Luca,,,,Davis,,,Bolzano,Tromsø,Dubai,Barcelona,Alexandria,Tir Na Nog,Dhaka,Sapporo,Conakry,Kolkata,Usinsk,Kite,Alligator,Wobbegong,Swan,,Atta,Lanternfly,Krait,Black Widow,Blacktip,Hamster,,Martens,Pelican,,,,,,,,,Viper,Margay,,
,,,,,,,,,,,,,,,,,,,,,,Lily,Natan,,,,Rodriguez,,,Salzburg,Kirkenes,Baghdad,Rome,Algiers,Penglai,Karachi,Batam,Brazzaville,Kinshasa,Tiksi,Buzzard,Margay,Blacktip,Zebra,,Caddisfly,Moth,Hawk,Ant,Bobcat,Gerbil,,Gazelle,Stork,,,,,,,,,Piranha,Jaguar,,
,,,,,,,,,,,,,,,,,,,,,,Eva,Isaac,,,,Miller,,,Ljubljana,Arkhangelskoye,Kuwait City,Naples,Amman,Eden,Chongqing,Penang,Bamako,Lima,Anadyr,Moray,Caracal,Mako,,,,Scorpion,Golden Eagle,Grasshopper,Margay,,,Ant,Flamingo,,,,,,,,,Seriema,Grizzly,,
,,,,,,,,,,,,,,,,,,,,,,Freya,Ronan,,,,Patel,,,Bern,Whitehorse,Amman,Buenos Aires,Medina,Elysium,Istanbul,Nagoya,Ouagadougou,Bangkok,Magadan,Golden Eagle,Mako,Rhino,,,,Locust,Owl,Locust,Hammerhead,,,Coyote,Crane,,,,,,,,,Crowned Eagle,Alligator,,
,,,,,,,,,,,,,,,,,,,,,,Jasmine,Tyler,,,,Gonzalez,,,Linz,Naryan-Mar,Muscat,São Paulo,Damascus,Shangri-La,Lahore,Busan,Douala,Ho Chi Minh City,Yakutsk,Boa,Cougar,Sevengill,,,,Jellyfish,Barracuda,Wolf,Buffalo,,,Moth,Ostrich,,,,,,,,,Stingray,Wobbegong,,
,,,,,,,,,,,,,,,,,,,,,,Jade,Zain,,,,Wilson,,,Padua,Apatity,Doha,Santiago,Rabat,Valhalla,Buenos Aires,Honolulu,Yaounde,Chennai,Pevek,Stingray,Great White,Warthog,,,,Octopus,Harpy Eagle,Lanternfly,Caracal,,,Mosquito,Emu,,,,,,,,,Kestrel,Leopard,,
,,,,,,,,,,,,,,,,,,,,,,Maya,Gabriel,,,,Anderson,,,Trento,Tiksi,Almaty,Madrid,Muscat,Hyperborea,Kinshasa,Phnom Penh,Lubumbashi,Bangalore,Chersky,Pit Viper,Kodiak,Puma,,,,Mongoose,Cobra,Gazelle,Eurasian lynx,,,Octopus,Kiwi,,,,,,,,,Swordfish,Rhino,,
,,,,,,,,,,,,,,,,,,,,,,Emilia,Mateo,,,,Thomas,,,Klagenfurt,Narvik,Aden,Melbourne,Sana'a,Tír Tairngire,Tianjin,Palma,Niamey,Hyderabad,Khatanga,Snakehead,Servals,Eurasian lynx,,,,Weasel,Falcon,Yellowjacket,Grizzly,,,Yellowjacket,Penguin,,,,,,,,,Black Mamba,Bobcat,,
,,,,,,,,,,,,,,,,,,,,,,Aria,David,,,,Jackson,,,Aosta,Muravlenko,Tabriz,Sydney,Khartoum,Irem of the Pillars,Moscow,Reykjavik,Lome,Rio de Janeiro,Tazovsky,Lionfish,Grizzly,Crocodile,,,,Praying Mantis,Lionfish,Tarantula,Lion,,,Scarab,Canary,,,,,,,,,Anaconda,Thresher,,
,,,,,,,,,,,,,,,,,,,,,,Chloe,Ivan,,,,White,,,Chambéry,Sisimiut,Abha,Brisbane,Lahore,Olympus,Guangzhou,Nassau,Harare,Nairobi,Verkhoyansk,Kestrel,Blacktip,Buffalo,,,,Dragonfly,Anaconda,Carribou,Orca,,,Tarantula,Finch,,,,,,,,,Merlin,Blacktip,,
,,,,,,,,,,,,,,,,,,,,,,Penelope,Brandon,,,,Harris,,,Bregenz,Kandalaksha,Najran,Perth,Aleppo,Cockaigne,Shenzhen,Batumi,Maputo,Ahmedabad,Batagay,Python,Lion,Bobcat,,,,Hornworm,Caracara,Weasel,Puma,,,Dragonfly,Budgerigar,,,,,,,,,Golden Eagle,Eurasian lynx,,
,,,,,,,,,,,,,,,,,,,,,,Ava,Tristan,,,,Martin,,,Udine,Barrow,Taif,Auckland,,,Jakarta,Cebu City,Windhoek,Surat,Zyryanka,Piranha,Leopard,Great White,,,,Cricket,Stingray,Hornet,Warthog,,,Wolverine,Cockatiel,,,,,,,,,Copperhead,Tiger,,
,,,,,,,,,,,,,,,,,,,,,,Adelaide,Dylan,,,,Thompson,,,,,,,,,New York City,,,,,Owl,Tiger,Kodiak,,,,Kaydid,Osprey,Moth,Kodiak,,,Gila Monster,Quail,,,,,,,,,Kite,Hammerhead,,
,,,,,,,,,,,,,,,,,,,,,,Grace,Timothy,,,,Ali,,,,,,,,,Paris,,,,,Seriema,Cheetah,Hammerhead,,,,Grasshopper,Eagle,Centipede,Servals,,,Vole,Grouse,,,,,,,,,Bushmaster,Orca,,
,,,,,,,,,,,,,,,,,,,,,,Harper,Anthony,,,,Moore,,,,,,,,,Bangalore,,,,,Anaconda,Puma,Caracal,,,,Cockroach,Bushmaster,Vole,Mako,,,Uromastyx,Pheasant,,,,,,,,,Harrier,Komodo,,
,,,,,,,,,,,,,,,,,,,,,,Hazel,Luke,,,,Young,,,,,,,,,Lima,,,,,Harpy Eagle,Jaguar,Grizzly,,,,Fire Ant,Bateleur,Skink,Cougar,,,Cricket,Cormorant,,,,,,,,,Steppe Eagle,Mako,,
,,,,,,,,,,,,,,,,,,,,,,Elena,Miguel,,,,Ahmed,,,,,,,,,Chennai,,,,,Bald Eagle,Sevengill,Leopard,,,,Ant,Python,Praying Mantis,Jaguar,,,Grasshopper,Heron,,,,,,,,,Boa,Caracal,,
,,,,,,,,,,,,,,,,,,,,,,Alice,Julian,,,,Wright,,,,,,,,,Bogota,,,,,Merlin,Sixgill,Lion,,,,Gecko,Boa,Iguana,Tiger,,,Skink,Spoonbill,,,,,,,,,Chimaera,Sixgill,,
,,,,,,,,,,,,,,,,,,,,,,Esme,Kenji,,,,Singh,,,,,,,,,Bangkok,,,,,Bushmaster,Eurasian lynx,Tiger,,,,Iguana,Kite,Scarab,Wobbegong,,,Gecko,Ibis,,,,,,,,,Bald Eagle,Cheetah,,
,,,,,,,,,,,,,,,,,,,,,,Olivia,Xavier,,,,Scott,,,,,,,,,Hyderabad,,,,,Krait,Rhino,Komodo,,,,Gila Monster,King Cobra,Hedgehog,Rhino,,,Ferret,Albatross,,,,,,,,,Lionfish,Cougar,,
,,,,,,,,,,,,,,,,,,,,,,Celeste,August,,,,Green,,,,,,,,,London,,,,,Kite,Buffalo,Thresher,,,,Skink,Merlin,Martens,Sixgill,,,Weasel,Seagull,,,,,,,,,Goshawk,Lion,,
,,,,,,,,,,,,,,,,,,,,,,Zara,Jaxson,,,,Baker,,,,,,,,,Ho Chi Minh City,,,,,Copperhead,Warthog,Sixgill,,,,Uromastyx,Buzzard,Cockroach,Komodo,,,Kaydid,Tern,,,,,,,,,Barracuda,Buffalo,,
,,,,,,,,,,,,,,,,,,,,,,Gaia,Marcus,,,,Adams,,,,,,,,,Hong Kong,,,,,Martial Eagle,Tyranosaur,,,,,Chuckwalla,Harrier,Scorpion,,,,Hedgehog,Kingfisher,,,,,,,,,Death Adder,,,
,,,,,,,,,,,,,,,,,,,,,,Athena,Yusuf,,,,Nelson,,,,,,,,,Lahore,,,,,Viper,Megalodon,,,,,Chameleon,Copperhead,Skink,,,,Lanternfly,Woodpecker,,,,,,,,,Martial Eagle,,,
,,,,,,,,,,,,,,,,,,,,,,Layla,James,,,,Carter,,,,,,,,,Ahmedabad,,,,,Goshawk,,,,,,Skink,Martial Eagle,Jellyfish,,,,Chameleon,Wren,,,,,,,,,Bateleur,,,
,,,,,,,,,,,,,,,,,,,,,,Bella,Nikolai,,,,Mitchell,,,,,,,,,Kuala Lumpur,,,,,Bateleur,,,,,,Bat,Pit Viper,Gila Monster,,,,Arctic Fox,Swallow,,,,,,,,,Snakehead,,,
,,,,,,,,,,,,,,,,,,,,,,Daphne,Aarav,,,,Huang,,,,,,,,,Kolkata,,,,,King Cobra,,,,,,Vole,Tigerfish,Mosquito,,,,Scorpion,Thrush,,,,,,,,,Tigerfish,,,
,,,,,,,,,,,,,,,,,,,,,,Elsie,Luis,,,,Roberts,,,,,,,,,Surat,,,,,Black Mamba,,,,,,Ferret,Snakehead,Kaydid,,,,Wasp,Raven,,,,,,,,,Marlin,,,
,,,,,,,,,,,,,,,,,,,,,,Clementine,Evan,,,,Turner,,,,,,,,,Yangon,,,,,Tigerfish,,,,,,Hedgehog,Swordfish,Octopus,,,,Cockroach,Ram,,,,,,,,,Rattlesnake,,,
,,,,,,,,,,,,,,,,,,,,,,Amara,Soren,,,,Phillips,,,,,,,,,Riyadh,,,,,Crowned Eagle,,,,,,Shrew,Viper,Gecko,,,,Wolf,Mustang,,,,,,,,,Cobra,,,
,,,,,,,,,,,,,,,,,,,,,,Norah,Theo,,,,Campbell,,,,,,,,,Singapore,,,,,Cobra,,,,,,Martens,Kite,Chuckwalla,,,,Bat,Stallion,,,,,,,,,Eagle,,,
,,,,,,,,,,,,,,,,,,,,,,Vida,Jasper,,,,Kim,,,,,,,,,Anhui,,,,,Swordfish,,,,,,Wolverine,Sparrowhawk,Hornworm,,,,Hornworm,Antelope,,,,,,,,,Python,,,
,,,,,,,,,,,,,,,,,,,,,,Leila,Sean,,,,Parker,,,,,,,,,,,,,,Rattlesnake,,,,,,Gazelle,Bald Eagle,Wasp,,,,Praying Mantis,Sea Lion,,,,,,,,,Sparrowhawk,,,
,,,,,,,,,,,,,,,,,,,,,,Anika,Malcolm,,,,Evans,,,,,,,,,,,,,,Caracara,,,,,,Wolf,Goshawk,Ferret,,,,Iguana,Walrus,,,,,,,,,Pit Viper,,,
,,,,,,,,,,,,,,,,,,,,,,Ingrid,Alex,,,,Edwards,,,,,,,,,,,,,,Harrier,,,,,,Coyote,Piranha,Cricket,,,,Hornet,Greyhound,,,,,,,,,King Cobra,,,
,,,,,,,,,,,,,,,,,,,,,,Sadie,Ezra,,,,Collins,,,,,,,,,,,,,,Barracuda,,,,,,Carribou,Death Adder,Bat,,,,Black Widow,Springbok,,,,,,,,,Moray,,,
,,,,,,,,,,,,,,,,,,,,,,Audrey,Arlo,,,,Stewart,,,,,,,,,,,,,,Osprey,,,,,,Arctic Fox,Seriema,Wolverine,,,,Shrew,Swift,,,,,,,,,Harpy Eagle,,,
,,,,,,,,,,,,,,,,,,,,,,Noelle,Wesley,,,,Sanchez,,,,,,,,,,,,,,Hawk,,,,,,,Chimaera,,,,,,Swallow,,,,,,,,,Vulture,,,
,,,,,,,,,,,,,,,,,,,,,,Marley,Luca,,,,Morris,,,,,,,,,,,,,,Peregrine,,,,,,,Peregrine,,,,,,Zebra,,,,,,,,,Peregrine,,,
,,,,,,,,,,,,,,,,,,,,,,Juniper,Finn,,,,Rogers,,,,,,,,,,,,,,Velociraptor,,,,,,,,,,,,,Whale,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Eloise,Caleb,,,,Reed,,,,,,,,,,,,,,,,,,,,,,,,,,,Dire Wolf,,,,,,,,,,,,
