namelist_title,namelist_author,namelist_id,an_assault_army,an_clone_army,an_defense_army,an_gene_warrior_army,an_industrial_army,an_machine_assault_1,an_machine_assault_2,an_machine_assault_3,an_machine_defense,an_occupation_army,an_postatomic_army,an_primitive_army,an_psionic_army,an_robotic_army,an_robotic_defense_army,an_robotic_occupation_army,an_slave_army,an_undead_army,an_xenomorph_army,cn_first_names_female,cn_first_names_male,cn_regnal_first_names_female,cn_regnal_first_names_male,cn_regnal_second_names,cn_second_names,fn_fleet_names,fn_random_names,pn_alpine_planets,pn_arctic_planets,pn_arid_planets,pn_continental_planets,pn_desert_planets,pn_gaia_planets,pn_generic_planets,pn_ocean_planets,pn_savannah_planets,pn_tropical_planets,pn_tundra_planets,sn_battle_cruiser,sn_battleship,sn_carrier,sn_colonizer,sn_colossus,sn_constructor,sn_corvette,sn_cruiser,sn_destroyer,sn_dreadnought,sn_exploration_ship,sn_flagship,sn_frigate,sn_generic,sn_headquarters,sn_ion_cannon,sn_juggernaut,sn_military_station_large,sn_military_station_medium,sn_military_station_small,sn_science,sn_sponsored_colonizer,sn_striker_cruiser,sn_titan,sn_transport,sn_xl_cannon
Ancient Roman (ONL),osiris,ancientroman,Impetus Excercitus $R$,Exercitus Gemellus $R$,Llimitanei Excercitus $R$,Exercitus Geneticus $R$,Exercitus Industrialis  $R$,Impetus Machina $R$,Impetus Machina $R$,Impetus Machina $R$,Llimitanei Machina $R$,Praesidium Excercitus $R$,Exercitus Post Atomos $R$,Exercitus Rudis $R$,Exercitus Gemellus $R$,Exercitus Machina $R$,Llimitanei Machina $R$,Praesidium Machina $R$,Exercitus Servus $R$,Exercitus Rredivivus  $R$,Exercitus Peregrinus $R$,Agatha,Aeneas,Agrippina,Augustus,Augustus,Aelianus,Classis $R$,,Aquileia,Eboracum,Palmyra,Rome,Petra,Elysium,Rome,Carthage,Carthage,Alexandria,Eboracum,Fortuna's Vigil,Apollo,Fortuna,Claudius,Jupiter,Cardea,Bellona's Chariot,Apollo's Gladius,Bellona's Storm,Luna,Viagium,Jupiter,Mars's Fury,Scipio,Praetorium,Visus Martis,Jupiter,Arx,Castellum,Castrum,Thales,Claudius,Voice of Luna,Luna,Naves Actuariae,Tonitru Iovis
,,,,,,,,,,,,,,,,,,,,,,Agrippina,Agrippa,Antonia,Tiberius,Tiberius,Aemilius,,,Augusta Praetoria,Londinium,Petra,Athens,Palmyra,Hesperidum Hortus,Alexandria,Alexandria,Alexandria,Leptis Magna,Londinium,Minerva's Pugio,Bacchus,Luna,Crassus,Juno,Deverra,Bellona's Courage,Will of Pluto,Honos's Chariot,Sol,Ovid,Juno,Praetoria's Command,Caesar,,,Juno,,,,Anaximander,Crassus,Saturn's Command,Mars,,
,,,,,,,,,,,,,,,,,,,,,,Aemilia,Alexander,Calpurnia,Caligula,Caligula,Agrippa,,,Bergomum,Lindum Colonia,Cyrene,Corinth,Cyrene,Olympus Mons,Antioch,Ostia,Thebes,Sabratha,Lindum Colonia,Bacchus's Spatha,Ceres,Mars,Pompeius,Minerva,Fornax,Bellona's Gladius,Cupid's Hasta,Tutela's Tempest,Neptune,Martial,Minerva,Honos's Tenacity,Augustus,,,Minerva,,,,Pythagoras,Pompeius,Might of Apollo,Cupid,,
,,,,,,,,,,,,,,,,,,,,,,Alba,Antonius,Claudia,Claudius,Claudius,Albinus,,,Brixia,Deva Victrix,Leptis Magna,Sparta,Leptis Magna,Arcadia,Carthage,Leptis Magna,Memphis,Ptolemais,Deva Victrix,Tellus's Rage,Cupid,Faunus,Marius,,Limentinus,Bellona's Command,Venus's Scutum,Vindex's Fury,Mercury,Detegere,,Mars's Command,Trajan,,,,,,,Heraclitus,Marius,Luna's Scutum,Pluto,,
,,,,,,,,,,,,,,,,,,,,,,Antonia,Appius,Cleopatra,Nero,Nero,Aurelius,,,Cemenelum,Colonia Agrippina,Garama,Byzantium,Garama,Campi Asphodeli,Ephesus,Sabratha,Cyrene,Oea,Colonia Agrippina,Neptune's Tempest,Diana,Mercury,Tarquinius,,Mefitis,Bellona's Fire,Fortuna's Tenacity,Virtus's Valor,Apollo,Pliny,,Tutela's Rage,Aurelius,,,,,,,Parmenides,Tarquinius,Luna's Rage,Apollo,,
,,,,,,,,,,,,,,,,,,,,,,Apollonia,Augustus,Domitia,Vespasian,Vespasian,Balbus,,,Comum,Augusta Treverorum,Adrana,Syracuse,Adrana,Insulae Beatissimae,Pergamum,Ptolemais,Leptis Magna,Carthage,Augusta Treverorum,Mercury's Spatha,Fortuna,Vulcan,Pulcher,,Nodutus,Bellona's Vigil,Voice of Vulcan,Victoria's Fire,Fortuna,Prospectum,,Metus's Ire,Superbus,,,,,,,Zeno,Pulcher,Bacchus's Chariot,Proserpina,,
,,,,,,,,,,,,,,,,,,,,,,Aquilia,Brutus,Drusilla,Titus,Titus,Calpurnius,,,Forum Claudii Vallensium,Lutetia Parisiorum,Thamugadi,Pompeii,Thamugadi,Adonidis Horti,Smyrna,Oea,Sabratha,Adulis,Lutetia Parisiorum,Might of Tellus,Janus,Diana,Sulla,,Pales,Bellona's Sagitta,Vesta's Pilum,Mars's Pugio,Pluto,Safari,,Virtus's Storm,Brutus,,,,,,,Empedocles,Sulla,Pluto's Rage,Saturn,,
,,,,,,,,,,,,,,,,,,,,,,Artemisia,Caius,Faustina,Domitian,Domitian,Cassius,,,Iulia Augusta Taurinorum,Lugdunum Batavorum,Caesarea Mauretaniae,Carthage,Caesarea Mauretaniae,Insulae Beatae,Corinth,Tarraco,Adrana,Berenice Troglodytica,Lugdunum Batavorum,Cupid's Ire,Luna,Tellus,Brutus,,Sterquilinus,Bellona's Pugio,Venus's Fury,Voice of Timor,Vesta,Lucretius,,Justitia's Vigil,Mus,,,,,,,Democritus,Brutus,Juno's Rage,Venus,,
,,,,,,,,,,,,,,,,,,,,,,Aurelia,Camillus,Fulvia,Trajan,Nerva,Cato,,,Iulia Carnica,Nidaros,Volubilis,Alexandria,Theveste,Insula Beata,Syracuse,Gades,Thapsus,Cyrene,Nidaros,Bacchus's Scutum,Mars,Pluto,Scipio,,Tutelina,Bellona's Pilum,Mars's Fury,Voice of Felicitas,Venus,Deterrere,,Justitia's Fury,Scaevola,,,,,,,Protagoras,Scipio,Neptune's Valor,Janus,,
,,,,,,,,,,,,,,,,,,,,,,Caecilia,Cassius,Julia,Hadrian,Trajan,Claudius,,,Leponticum,Kaupang,Lixus,Cyzicus,Timgad,Campi Elysii,Sardis,Cyrene,Ptolemais,Thebes,Kaupang,Will of Venus,Mercury,Vesta,Maximus,,Fabulinus,Bellona's Spatha,Tellus's Sagitta,Metus's Command,Janus,Excursum,,Fist of Bellona,Torquatus,,,,,,,Socrates,Maximus,Faunus's Audacity,Bacchus,,
,,,,,,,,,,,,,,,,,,,,,,Camilla,Cato,Junia,Antoninus Pius,Hadrian,Cornelius,,,Lugdunum,Birka,Gao,Pergamon,Tingis,Insulae Fortunatae,Cyrene,Neapolis,Oea,Axum,Birka,Saturn's Fire,Neptune,Ceres,,,,Bellona's Hasta,Minerva's Audacity,Tychon's Vigil,Bacchus,Plautus,,Bellona's Fire,Marcellus,,,,,,,Plato,,Pluto's Pugio,Diana,,
,,,,,,,,,,,,,,,,,,,,,,Cassia,Celsus,Livia,Marcus Aurelius,Antoninus,Crassus,,,Mantua,Jomsborg,Theveste,Tarsus,Antinopolis,Insulae Mortui Beatique,Leptis Magna,Ephesus,Hippo Regius,Meroë,Jomsborg,Vesta's Vigil,Pluto,Cupid,,,,Bellona's Scutum,Fist of Vesta,Will of Honos,Vulcan,Iter,,Virtus's Chariot,Maximus,,,,,,,Aristotle,,Mars's Storm,Tellus,,
,,,,,,,,,,,,,,,,,,,,,,Ceres,Cicero,Messalina,Commodus,Marcus Aurelius,Curius,,,Mediolanum,Vineta,Oea,Ephesus,Coptos,Auri Vellus,Tarsus,Byzantium,Tacape,Napata,Vineta,Tellus's Chariot,Proserpina,Bacchus,,,,Bellona's Fury,Jupiter's Valor,Mars's Fire,Ceres,Horace,,Justitia's Fire,Pompey,,,,,,,Euclid,,Might of Neptune,Mercury,,
,,,,,,,,,,,,,,,,,,,,,,Claudia,Claudius,Octavia,Septimius Severus,Commodus,Decius,,,Novaria,Ribe,Timgad,Massilia,Berenice Troglodytica,Porta Eburnea,Nicaea,Syracuse,Volubilis,Dongola,Ribe,Apollo's Fire,Saturn,Apollo,,,,Bellona's Rage,Luna's Hasta,Quirinus's Rage,Proserpina,Seneca,,Timor's Scutum,Antony,,,,,,,Archimedes,,Vulcan's Rage,Vulcan,,
,,,,,,,,,,,,,,,,,,,,,,Cornelia,Cornelius,Poppaea,Caracalla,Septimius Severus,Domitius,,,Tridentum,Hedeby,Tingis,Aquileia,Kharga Oasis,Palatium Crystallinum,Byzantium,Caieta,Thamugadi,Sabae,Hedeby,Faunus's Storm,Sol,Sol,,,,Bellona's Valor,Apollo's Sagitta,Ultor's Ire,Diana,Petronius,,Victoria's Audacity,Crassus,,,,,,,Hippocrates,,Mars's Gladius,Vesta,,
