namelist_title,namelist_author,namelist_id,an_assault_army,an_clone_army,an_defense_army,an_gene_warrior_army,an_industrial_army,an_machine_assault_1,an_machine_assault_2,an_machine_assault_3,an_machine_defense,an_occupation_army,an_postatomic_army,an_primitive_army,an_psionic_army,an_robotic_army,an_robotic_defense_army,an_robotic_occupation_army,an_slave_army,an_undead_army,an_xenomorph_army,cn_first_names_female,cn_first_names_male,cn_regnal_first_names_female,cn_regnal_first_names_male,cn_regnal_second_names,cn_second_names,fn_fleet_names,fn_random_names,pn_alpine_planets,pn_arctic_planets,pn_arid_planets,pn_continental_planets,pn_desert_planets,pn_gaia_planets,pn_generic_planets,pn_ocean_planets,pn_savannah_planets,pn_tropical_planets,pn_tundra_planets,sn_battle_cruiser,sn_battleship,sn_carrier,sn_colonizer,sn_colossus,sn_constructor,sn_corvette,sn_cruiser,sn_destroyer,sn_dreadnought,sn_exploration_ship,sn_flagship,sn_frigate,sn_generic,sn_headquarters,sn_ion_cannon,sn_juggernaut,sn_military_station_large,sn_military_station_medium,sn_military_station_small,sn_science,sn_sponsored_colonizer,sn_striker_cruiser,sn_titan,sn_transport,sn_xl_cannon
Ancient Roman LN (ONL),osiris,ancientromanln,Impetus Excercitus $R$,Exercitus Gemellus $R$,Llimitanei Excercitus $R$,Exercitus Geneticus $R$,Exercitus Industrialis  $R$,Impetus Machina $R$,Impetus Machina $R$,Impetus Machina $R$,Llimitanei Machina $R$,Praesidium Excercitus $R$,Exercitus Post Atomos $R$,Exercitus Rudis $R$,Exercitus Gemellus $R$,Exercitus Machina $R$,Llimitanei Machina $R$,Praesidium Machina $R$,Exercitus Servus $R$,Exercitus Rredivivus  $R$,Exercitus Peregrinus $R$,Agatha,Aeneas,Agrippina,Augustus,Augustus,Aelianus,Classis $R$,,Aquileia,Eboracum,Palmyra,Rome,Petra,Elysium,Rome,Carthage,Carthage,Alexandria,Eboracum,Gladius Apollinis,Apollo,Fortuna,Claudius,Jupiter,Cardea,Currus Bellonae,Gladius Apollinis,Metus Pugio,Luna,Viagium,Jupiter,Furor Virtutis,Scipio,Praetorium,Visus Martis,Jupiter,Arx,Castellum,Castrum,Thales,Claudius,Voice of Luna,Luna,Naves Actuariae,Tonitru Iovis
,,,,,,,,,,,,,,,,,,,,,,Agrippina,Agrippa,Antonia,Tiberius,Tiberius,Aemilius,,,Augusta Praetoria,Londinium,Petra,Athens,Palmyra,Hesperidum Hortus,Alexandria,Alexandria,Alexandria,Leptis Magna,Londinium,Voluntas Plutonis,Bacchus,Luna,Crassus,Juno,Deverra,Virtus Bellonae,Voluntas Plutonis,Ira Timoris,Sol,Ovid,Juno,Disciplinae Tenacitas,Caesar,,,Juno,,,,Anaximander,Crassus,Saturn's Command,Mars,,
,,,,,,,,,,,,,,,,,,,,,,Aemilia,Alexander,Calpurnia,Caligula,Caligula,Agrippa,,,Bergomum,Lindum Colonia,Cyrene,Corinth,Cyrene,Olympus Mons,Antioch,Ostia,Thebes,Sabratha,Lindum Colonia,Hasta Cupidinis,Ceres,Mars,Pompeius,Minerva,Fornax,Gladius Bellonae,Hasta Cupidinis,Vox Iustitiae,Neptune,Martial,Minerva,Spatha Concordiae,Augustus,,,Minerva,,,,Pythagoras,Pompeius,Might of Apollo,Cupid,,
,,,,,,,,,,,,,,,,,,,,,,Alba,Antonius,Claudia,Claudius,Claudius,Albinus,,,Brixia,Deva Victrix,Leptis Magna,Sparta,Leptis Magna,Arcadia,Carthage,Leptis Magna,Memphis,Ptolemais,Deva Victrix,Scutum Veneris,Cupid,Faunus,Marius,,Limentinus,Imperium Bellonae,Scutum Veneris,Pilum Victoriae,Mercury,Detegere,,Virtus Honoris,Trajan,,,,,,,Heraclitus,Marius,Luna's Scutum,Pluto,,
,,,,,,,,,,,,,,,,,,,,,,Antonia,Appius,Cleopatra,Nero,Nero,Aurelius,,,Cemenelum,Colonia Agrippina,Garama,Byzantium,Garama,Campi Asphodeli,Ephesus,Sabratha,Cyrene,Oea,Colonia Agrippina,Tenacitas Fortunae,Diana,Mercury,Tarquinius,,Mefitis,Ignis Bellonae,Tenacitas Fortunae,Pilum Honoris,Apollo,Pliny,,Justitiae Vigilia,Aurelius,,,,,,,Parmenides,Tarquinius,Luna's Rage,Apollo,,
,,,,,,,,,,,,,,,,,,,,,,Apollonia,Augustus,Domitia,Vespasian,Vespasian,Balbus,,,Comum,Augusta Treverorum,Adrana,Syracuse,Adrana,Insulae Beatissimae,Pergamum,Ptolemais,Leptis Magna,Carthage,Augusta Treverorum,Vox Vulcani,Fortuna,Vulcan,Pulcher,,Nodutus,Vigilia Bellonae,Vox Vulcani,Vox Bellonae,Fortuna,Prospectum,,Ultoris Ira,Superbus,,,,,,,Zeno,Pulcher,Bacchus's Chariot,Proserpina,,
,,,,,,,,,,,,,,,,,,,,,,Aquilia,Brutus,Drusilla,Titus,Titus,Calpurnius,,,Forum Claudii Vallensium,Lutetia Parisiorum,Thamugadi,Pompeii,Thamugadi,Adonidis Horti,Smyrna,Oea,Sabratha,Adulis,Lutetia Parisiorum,Pilum Vestae,Janus,Diana,Sulla,,Pales,Sagitta Bellonae,Pilum Vestae,Audacia Martis,Pluto,Safari,,Tutelae Ignis,Brutus,,,,,,,Empedocles,Sulla,Pluto's Rage,Saturn,,
,,,,,,,,,,,,,,,,,,,,,,Artemisia,Caius,Faustina,Domitian,Domitian,Cassius,,,Iulia Augusta Taurinorum,Lugdunum Batavorum,Caesarea Mauretaniae,Carthage,Caesarea Mauretaniae,Insulae Beatae,Corinth,Tarraco,Adrana,Berenice Troglodytica,Lugdunum Batavorum,Furor Veneris,Luna,Tellus,Brutus,,Sterquilinus,Pugio Bellonae,Furor Veneris,Currus Volusiani,Vesta,Lucretius,,Currus Bellonae,Mus,,,,,,,Democritus,Brutus,Juno's Rage,Venus,,
,,,,,,,,,,,,,,,,,,,,,,Aurelia,Camillus,Fulvia,Trajan,Nerva,Cato,,,Iulia Carnica,Nidaros,Volubilis,Alexandria,Theveste,Insula Beata,Syracuse,Gades,Thapsus,Cyrene,Nidaros,Furor Martis,Mars,Pluto,Scipio,,Tutelina,Pilum Bellonae,Furor Martis,Victoriae Currus,Venus,Deterrere,,Vis Metus,Scaevola,,,,,,,Protagoras,Scipio,Neptune's Valor,Janus,,
,,,,,,,,,,,,,,,,,,,,,,Caecilia,Cassius,Julia,Hadrian,Trajan,Claudius,,,Leponticum,Kaupang,Lixus,Cyzicus,Timgad,Campi Elysii,Sardis,Cyrene,Ptolemais,Thebes,Kaupang,Sagitta Telluris,Mercury,Vesta,Maximus,,Fabulinus,Spatha Bellonae,Sagitta Telluris,Voluntas Victoriae,Janus,Excursum,,Pilum Honoris,Torquatus,,,,,,,Socrates,Maximus,Faunus's Audacity,Bacchus,,
