namelist_title,namelist_author,namelist_id,an_assault_army,an_clone_army,an_defense_army,an_gene_warrior_army,an_industrial_army,an_machine_assault_1,an_machine_assault_2,an_machine_assault_3,an_machine_defense,an_occupation_army,an_postatomic_army,an_primitive_army,an_psionic_army,an_robotic_army,an_robotic_defense_army,an_robotic_occupation_army,an_slave_army,an_undead_army,an_xenomorph_army,cn_first_names_female,cn_first_names_male,cn_second_names,cn_regnal_first_names_female,cn_regnal_first_names_male,cn_regnal_second_names,fn_fleet_names,fn_random_names,pn_generic_planets,pn_arid_planets,pn_desert_planets,pn_alpine_planets,pn_continental_planets,pn_savannah_planets,pn_ocean_planets,pn_arctic_planets,pn_tundra_planets,pn_tropical_planets,pn_gaia_planets,sn_generic,sn_corvette,sn_destroyer,sn_frigate,sn_cruiser,sn_battle_cruiser,sn_striker_cruiser,sn_battleship,sn_carrier,sn_dreadnought,sn_titan,sn_flagship,sn_juggernaut,sn_colossus,sn_colonizer,sn_sponsored_colonizer,sn_constructor,sn_exploration_ship,sn_science,sn_transport,sn_headquarters,sn_military_station_large,sn_military_station_medium,sn_military_station_small,sn_ion_cannon,sn_xl_cannon
Soviet Union (ONL),osiris,soviet,$ORD$ Armiya Shturmovaya,$ORD$ Armiya Klonirovannaya,$ORD$ Armiya Oborony,$ORD$ Armiya Gennykh Voinov,$ORD$ Promyshlennaya Armiya,$ORD$ Armiya Mashinnoy Ataki,$ORD$ Armiya Mashinnoy Ataki,$ORD$ Armiya Mashinnoy Ataki,$ORD$ Armiya Mashinnoy Oborony,$ORD$ Garnizon,$ORD$ Armiya Posleatomnogo Perioda,$ORD$ Armiya Partizan,$ORD$ Psionicheskaya Armiya,$ORD$ Roboticheskaya Armiya,$ORD$ Armiya Roboticheskoy Oborony,$ORD$ Roboticheskiy Garnizon,$ORD$ Prizyvnoy Armiya,$ORD$ Armiya Nezhit,$ORD$ Armiya Ksenomorphov,Anastasia,Alexander,Ivanov,Olga,Ivan,Romanov,$ORD$ Zvyozdnyy Flot,,Moscow,Ashgabat,Arys,Almaty,Arkhangelsk,Aktyubinsk,Anapa,Anadyr,Aldan,Adler,Belovodye,Adygea,Nevsky,Nevsky,Nevsky,Akhromeyev,Akhromeyev,Akhromeyev,Andropov,Andropov,Andropov,Andropov,Elbrus,Elbrus,Elbrus,Aral,Gazprom,Shukhov,Bering,Pavlov,Desantnyy Kater,Kremlin,,,,Tsar,Tsar-XL
,,,,,,,,,,,,,,,,,,,,,,Maria,Dmitry,Petrov,Anastasia,Alexander,Rurik,,,Leningrad,Baku,Bukhara,Ashgabat,Astrakhan,Atyrau,Batumi,Arkhangelsk,Anadyr,Alma-Ata,Iriy,Altai,Donskoy,Donskoy,Donskoy,Alekseev,Alekseev,Alekseev,Brezhnev,Brezhnev,Brezhnev,Brezhnev,Pik Lenin,Pik Lenin,Pik Lenin,Baikal,Lukoil,Yashin,Konyukhov,Mendeleev,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Yulia,Ivan,Smirnov,Anna,Peter,Godunov,,,Kiev,Bukhara,Dasoguz,Bishkek,Barnaul,Balhash,Brest,Dudinka,Apatity,Batumi,Buyan,Altai Krai,Susanin,Susanin,Susanin,Baghramyan,Baghramyan,Baghramyan,Chernomyrdin,Chernomyrdin,Chernomyrdin,Chernomyrdin,Khan Tengri,Khan Tengri,Khan Tengri,Caspian,Rosneft,Posokhin,Dezhnev,Lobachevsky,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Ekaterina,Vladimir,Popov,Catherine,Nicholas,Shuysky,,,Kharkov,Chimkent,Gurganj,Cholpon-Ata,Bryansk,Barnaul,Gagra,Igarka,Batagay,Bishkek,Kitezh,Amur,Minin,Minin,Minin,Bagramov,Bagramov,Bagramov,Dubcek,Dubcek,Dubcek,Dubcek,Ismoil Somon,Ismoil Somon,Ismoil Somon,Chany,Sberbank,Musayev,Taimyrsky,Lomonosov,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Alexandra,Alexey,Kuznetsov,Elizabeth,Paul,Vasa,,,Tashkent,Dushanbe,Jizak,Dushanbe,Chelyabinsk,Chita,Gelendzhik,Kandalaksha,Chersky,Dushanbe,Ys,Arkhangelsk,Razin,Razin,Razin,Bagration,Bagration,Bagration,Gamsakhurdia,Gamsakhurdia,Gamsakhurdia,Gamsakhurdia,Jengish Chokusu,Jengish Chokusu,Jengish Chokusu,Ilmen,Novatek,Basov,Popov,Landau,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Olga,Sergey,Sokolov,Alexandra,Dmitry,Alekseyev,,,Minsk,Frunze,Kagan,Fergana,Gorky,Dzhambul,Kerch,Kirovsk,Chokurdakh,Gagra,Lyonesse,Astrakhan,Minin,Minin,Minin,Batov,Batov,Batov,Gorbachev,Gorbachev,Gorbachev,Gorbachev,Pobeda,Pobeda,Pobeda,Kizi,Magnit,Hessen,Middendorf,Tsiolkovsky,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Natalia,Mikhail,Lebedev,Maria,Michael,Menshikov,,,Rostov-on-Don,Kandahar,Karakalpakstan,Frunze,Ivanovo,Irkutsk,Klaipeda,Magadan,Dikson,Ganja,Berezan,Bashkortostan,Pozharsky,Pozharsky,Pozharsky,Bezobrazov,Bezobrazov,Bezobrazov,Gromyko,Gromyko,Gromyko,Gromyko,Korzhenevskaya,Korzhenevskaya,Korzhenevskaya,Ladoga,Norilsk Nickel,Belelyubsky,Pronchishchev,Vernadsky,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Anna,Nikolay,Kozlov,Ekaterina,Alexei,Dolgorukov,,,Novosibirsk,Karaganda,Khiva,Garm,Kaliningrad,Karaganda,Mariupol,Murmansk,Dudinka,Jūrmala,Svaorost,Belgorod,Peresvetov,Peresvetov,Peresvetov,Biron,Biron,Biron,Karimov,Karimov,Karimov,Karimov,Belukha,Belukha,Belukha,Onega,Tatneft,Kogan,Ushakov,Friedmann,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Irina,Andrey,Novikov,Sophia,Constantine,Golitsyn,,,Odessa,Kermine,Kyzylkum,Karsan,Kazan,Kustanai,Murmansk,Naryan-Mar,Inta,Karshi,Velez,Bryansk,Susanin,Susanin,Susanin,Bobrikov,Bobrikov,Bobrikov,Kerensky,Kerensky,Kerensky,Kerensky,Pushkin,Pushkin,Pushkin,Peipus,Surgutneftegaz,Shcherbakov,Khlebnikov,Belousov,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Polina,Roman,Morozov,Natalia,Vladimir,Narishkin,,,Kazan,Krasnovodsk,Mary,Kokand,Khabarovsk,Magnitogorsk,Nakhodka,Norilsk,Khatanga,Kemerovo,Kvenland,Buryatia,Yakovlev,Yakovlev,Yakovlev,Bokii,Bokii,Bokii,Khodorkovsky,Khodorkovsky,Khodorkovsky,Khodorkovsky,Dykh-Tau,Dykh-Tau,Dykh-Tau,Sarygamysh,VTB Bank,Mendeleev,Laptev,Sakharov,,,,,,,
