namelist_title,namelist_author,namelist_id,an_assault_army,an_clone_army,an_defense_army,an_gene_warrior_army,an_industrial_army,an_machine_assault_1,an_machine_assault_2,an_machine_assault_3,an_machine_defense,an_occupation_army,an_postatomic_army,an_primitive_army,an_psionic_army,an_robotic_army,an_robotic_defense_army,an_robotic_occupation_army,an_slave_army,an_undead_army,an_xenomorph_army,cn_first_names_female,cn_first_names_male,cn_regnal_first_names_female,cn_regnal_first_names_male,cn_regnal_second_names,cn_second_names,fn_fleet_names,fn_random_names,pn_generic_planets,pn_arid_planets,pn_desert_planets,pn_alpine_planets,pn_continental_planets,pn_savannah_planets,pn_ocean_planets,pn_arctic_planets,pn_tundra_planets,pn_tropical_planets,pn_gaia_planets,sn_generic,sn_corvette,sn_destroyer,sn_frigate,sn_cruiser,sn_battle_cruiser,sn_striker_cruiser,sn_battleship,sn_carrier,sn_dreadnought,sn_titan,sn_flagship,sn_juggernaut,sn_colossus,sn_colonizer,sn_sponsored_colonizer,sn_constructor,sn_exploration_ship,sn_science,sn_transport,sn_headquarters,sn_military_station_large,sn_military_station_medium,sn_military_station_small,sn_ion_cannon,sn_xl_cannon
Star Trek (ONL),osiris,startrek,$ORD$ Commando Regiment,$ORD$ Jem-Hadar Force,$ORD$ Garrison,$ORD$ Elite Jem-Hadar Force,$ORD$ Regiment,$ORD$ Android Assault Force,$ORD$ Android Assault Force,$ORD$ Android Assault Force,$ORD$ Android Garrison,$ORD$ Peacekeeper Force,$ORD$ Regiment,$ORD$ Guerilla Force,$ORD$ Cairn Regiment,$ORD$ Android Regiment,$ORD$ Android Garrison,$ORD$ Android Peacekeeper Regiment,$ORD$ Conscript Regiment,$ORD$ Trellium Regiment,$ORD$ Species 8472 Force,Adira,Aamin,,,,Adams,$ORD$ Fleet,,,Vulcan,Vulcan,Bajor,Earth,Aldea,Pacifica,Andoria,Delta Vega,Risa,Bajor,Aegis,,,,,,,Galaxy,Galaxy,Galaxy,Galaxy,Galaxy,Galaxy,,DY-100,Acme Industries,Miranda,Oberth,Oberth,Aspero,Starfleet Command,Battle Station,Fortress,Outpost,ODP,ODP-XL
,,,,,,,,,,,,,,,,,,,,,,Aisha,Adrik,,,,Adami,,,,Ceti Alpha V,Ceti Alpha V,Cardassia Prime,Andoria,Bajor,Altamid,Delta Vega,Andoria,Pacifica,Risa,Akira,,,,,,,Sovereign,Sovereign,Sovereign,Sovereign,Sovereign,Sovereign,,,Division of Planetary Operations,Workbee,Nebula,Nebula,,,Drydock,Starbase,Listening Post,,
,,,,,,,,,,,,,,,,,,,,,,Anij,Alexander,,,,Alexander,,,,Bajor,Ardana,Risa,Betazed,Dytallix B,Argo,Breen,Rura Penthe,Betazed,Antica,Akula,,,,,,,Prometheus,Prometheus,Prometheus,Prometheus,Prometheus,Prometheus,,,Daystrom Institute,,Intrepid,Intrepid,,,DS,Planetary Defense,Forward Base,,
,,,,,,,,,,,,,,,,,,,,,,B'Elanna,Anij,,,,Allgood,,,,Altair VI,Bajor,Daled IV,Bolarus IX,Enara Prime,Dakala,Rura Penthe,Breen,Aldea,Betazed,Aldrin,,,,,,,Invictus,Invictus,Invictus,Invictus,,,,,Zefram Cochrane Memorial Foundation,,Nova,Nova,,,,,Sensor Array,,
,,,,,,,,,,,,,,,,,,,,,,Bejal,Antaak,,,,Amasov,,,,Caldos II,Darien V,Denobula,Coridan,Galorndon Core,Daled IV,Tzenketh,Wintar,Mintaka III,Aldea,Ambassador,,,,,,,Titan,Titan,Titan,Titan,,,,,Sierra-Bravo Corporation,,Olympic,Olympic,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Beverly,Arctus,,,,Archer,,,,Delta Vega,Gamma Hydra IV,Dytallix B,Efros,Gault,Zalkon,Wintar,Tzenketh,Tarakis,Ba'ku,Andromeda,,,,,,,Leviathan,Leviathan,Leviathan,Leviathan,,,,,Kressari Trading Company,,Saber,Saber,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Briar,Benjamin,,,,Argyle,,,,Galor IV,Gideon,El-Adrel IV,Ferenginar,Gideon,Gagarin IV,Khitomer,Khitomer,Penthara IV,Ktaris,Apollo,,,,,,,Colossus,Colossus,Colossus,Colossus,,,,,Trillium Corporation,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Carol,Berlinghoff,,,,Ayala,,,,Gamma Trianguli VI,H'atoria,Gagarin IV,Gornar,Haven,Kalla III,Izar,Izar,Mestiko,Mintaka III,Argos,,,,,,,Behemoth,Behemoth,Behemoth,Behemoth,,,,,Qualor II Mining Consortium,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Celia,Boothby,,,,Bailey,,,,Janus VI,Holberg 917G,Galorndon Core,Ktaris,Kaelon II,Ktaria VII,Tau Cygna V,Tau Cygna V,Kalla III,Daled IV,Aurora,,,,,,,Phoenix,Phoenix,Phoenix,Phoenix,,,,,Argus Array Corporation,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Chal,Braxton,,,,Baran,,,,Kolarus III,Kalandan Outpost,Iconia,Malcor III,Kesat,Maravel,Rigel X,Rigel X,Arkaria,Caldos,Avenger,,,,,,,Chimera,Chimera,Chimera,Chimera,,,,,Optronic Data Core,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Charlene,Broccoli,,,,Barclay,,,,M-113,L-374,K7,Mizar II,Ktaria VII,Peliar Zel,Axanar,Axanar,Rubicun III,Sefalla Prime,B'rel,,,,,,,Archangel,Archangel,Archangel,Archangel,,,,,Carreon Foundation,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Damar,Chakotay,,,,Bashir,,,,Nimbus III,Nausicaa,Kalla III,Nausicaa,Loren III,Risa,Excalbia,Excalbia,Torga IV,New Romulus,Banshee,,,,,,,Dragonfire,Dragonfire,Dragonfire,Dragonfire,,,,,Hupyrian Mining Consortium,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Deanna,Charles,,,,Bok,,,,Orias III,Nimbus III,Kolarus III,Rura Penthe,New Halana,Sigma Iotia II,K7,Organia,Tilonus IV,Kaelon II,Bellerophon,,,,,,,Seraph,Seraph,Seraph,Seraph,,,,,Ktarian Gamesters,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Delora,Christopher,,,,Bonchune,,,,Pollux IV,Orellius,New Romulus,Tandar Prime,Nimbus III,Theta VIII,Organia,Sarpeidon,Triskelion,Kesprytt III,Bird-of-Prey,,,,,,,Thunderbolt,Thunderbolt,Thunderbolt,Thunderbolt,,,,,Chrysalis Corporation,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Delynn,Cochrane,,,,Boothby,,,,Remus,Rhymus Major,Pacifica,Tiburon,Omicron Theta,Ventax II,Vega Colony,Archanis IV,Ventax II,Gideon,Blade,,,,,,,Thunderbird,Thunderbird,Thunderbird,Thunderbird,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Emony,Corak,,,,Braxton,,,,Tau Cygna V,Vega Omicron,Rigel V,Trill,Pendari,Xenon,Archanis IV,Coridan,Cor Caroli V,Janus VI,Bonaventure,,,,,,,Hurricane,Hurricane,Hurricane,Hurricane,,,,,,,,,,,,,,,
