namelist_title,namelist_author,namelist_id,an_assault_army,an_clone_army,an_defense_army,an_gene_warrior_army,an_industrial_army,an_machine_assault_1,an_machine_assault_2,an_machine_assault_3,an_machine_defense,an_occupation_army,an_postatomic_army,an_primitive_army,an_psionic_army,an_robotic_army,an_robotic_defense_army,an_robotic_occupation_army,an_slave_army,an_undead_army,an_xenomorph_army,cn_first_names_female,cn_first_names_male,cn_regnal_first_names_female,cn_regnal_first_names_male,cn_regnal_second_names,cn_second_names,fn_fleet_names,fn_random_names,pn_alpine_planets,pn_arctic_planets,pn_arid_planets,pn_continental_planets,pn_desert_planets,pn_gaia_planets,pn_generic_planets,pn_ocean_planets,pn_savannah_planets,pn_tropical_planets,pn_tundra_planets,sn_battle_cruiser,sn_battleship,sn_carrier,sn_colonizer,sn_colossus,sn_constructor,sn_corvette,sn_cruiser,sn_destroyer,sn_dreadnought,sn_exploration_ship,sn_flagship,sn_frigate,sn_generic,sn_headquarters,sn_ion_cannon,sn_juggernaut,sn_military_station_large,sn_military_station_medium,sn_military_station_small,sn_science,sn_sponsored_colonizer,sn_striker_cruiser,sn_titan,sn_transport,sn_xl_cannon
Western Nations (ONL),osiris,westernnations,$ORD$ Allied Assault Force,$ORD$ Allied Replicant Force,$ORD$ Allied Garrision,$ORD$ Allied Special Forces,$ORD$ Allied Corp-Sec,$ORD$ Allied Mech Division,$ORD$ Allied Mech Division,$ORD$ Allied Mech Division,$ORD$ Allied Mech Garission,$ORD$ Allied Peacekeepers,$ORD$ Allied Forces,$ORD$ Allied Militia,$ORD$ Allied Psi-Ops Division,$ORD$ Cybernetic Force,$ORD$ Allied Cybernetic Garrision,$ORD$ Allied Cybernetic Peacekeepers,$ORD$ Allied Conscript Force,$ORD$ Allied Revenant Diviison,$ORD$ Allied Xeno Division,Isabella,Alejandro,,,,Aguilar,$ORD$ Allied Task Force,Allied Fleet Alpha,Vienna,Tromso,Phoenix,Buenos Aires,Riyadh,Bois de Boulogne,Istanbul,Palma de Mallorca,Sao Paulo,Barranquilla,Barrow,Bader,Brandt,Bonaparte,Como,Mont Blanc,Dent Blanche,Meko 200,Merkel,Skyhawk,Bolivar,Cook,Mont Blanc,Globemaster,Malta,WATO Headquarters,Ulfhednar,Pico de Orizaba,Allied Base,Allied Fort,Allied Combat Post,Newton,Manitoba,Hale,Wilson,Expedition,Varangian
,,,,,,,,,,,,,,,,,,,,,,Sofia,Andres,,,,Alvarado,,Allied Fleet Bravo,Munich,Rovaniemi,Las Vegas,São Paulo,Cairo,Tiergarten,London,Las Palmas de Gran Canaria,Buenos Aires,Belem,Churchill,Balboa,Heath,Lincoln,Onega,Whitney,Shasta,Spitfire,de Gaulle,Hercules,Victoria,Hudson,Logan,Lightning II,Bolivia,,,Saint Elias,,,,Galilei,Onega,Van den Burg,Lincoln,,
,,,,,,,,,,,,,,,,,,,,,,Valentina,Angel,,,,Arroyo,,Allied Fleet Charlie,Zurich,Oulu,Tucson,Santiago,Tehran,Chapultepec,Paris,Santa Cruz de Tenerife,Rio de Janeiro,Brasilia,Ilulissat,Barton,Lincoln,Kohl,Ladoga,Aconcagua,Hood,Descubierta,Chretien,Eagle,Bonaparte,Vespucci,Saint Elias,Mustang,Cuba,,,Whitney,,,,Darwin,Geneva,Slessor,Roosevelt,,
,,,,,,,,,,,,,,,,,,,,,,Anaïs,Antonio,,,,Barajas,,Allied Fleet Delta,Innsbruck,Luleå,San Diego,Madrid,Baghdad,Ibirapuera,Madrid,Funchal,Lima,Cali,Inuvik,Bingham,Merkel,Pompidou,Erie,Saint Elias,Grand Teton,Warthog,Washington,Dreadnought,Mulroney,Lewis,Blackburn,Anzac,Trinidad,,,Blackburn,,,,Einstein,Ladoga,Clark,Chretien,,
,,,,,,,,,,,,,,,,,,,,,,Marisol,Armando,,,,Barrera,,Allied Fleet Echo,Geneva,Reykjavik,El Paso,Barcelona,Ankara,Retiro,Barcelona,Ibiz,Bogota,Campo Grande,Kaktovik,Bolivar,Churchill,Heath,Peipus,Logan,Denali,Skyray,Bonaparte,Superfortress,Vargas,Franklin,Fairweather,Dragon Lady,Grenada,,,Mont Blanc,,,,Pasteur,Saimaa,Hodges,Blair,,
,,,,,,,,,,,,,,,,,,,,,,Paloma,Arturo,,,,Beltran,,Allied Fleet Foxtrot,Grenoble,Trondheim,Albuquerque,Rome,Algiers,Tivoli,Rome,San Sebastian,Salvador,Cancun,Kirkenes,Carver,Disraeli,Roosevelt,Vattern,Pico de Orizaba,Blanc de Courmayeur,Corsair,Victoria,Skyraider,Elizabeth II,Livingstone,Whitney,Havoc,Germany,,,Popocatepetl,,,,Curie,Texcoco,Cunningham,de Gaulle,,
,,,,,,,,,,,,,,,,,,,,,,Esperanza,Augusto,,,,Benitez,,Allied Fleet Golf,Salzburg,Alta,Mesa,Lima,Casablanca,Stanley,Berlin,Soller,Fortaleza,Cartagena,Longyearbyen,Costilla,Victoria,Vargas,Texcoco,Popocatepetl,Elbert,Airacobra,Disraeli,Osprey,Mitterrand,Pike,Popocatepetl,Bearcat,Italy,,,Lucania,,,,Faraday,Como,Luns,Macron,,
,,,,,,,,,,,,,,,,,,,,,,Isadora,Benito,,,,Bernal,,Allied Fleet Hotel,Chambéry,Kiruna,Los Angeles,Montevideo,Medina,Vondel,Athens,Angra do Heroismo,Recife,Cucuta,Tasiilaq,Dawes,Bismarck,Disraeli,Maggiore,Fairweather,Robson,Skjold,Bolivar,Oaxaca,Merkel,Clark,Lucania,Leander,Denmark,,,Aconcagua,,,,Maxwell,Timiskaming,Lemnitzer,Attlee,,
,,,,,,,,,,,,,,,,,,,,,,Giselle,Bruno,,,,Bonilla,,Allied Fleet India,Annecy,Bodø,Bakersfield,Rio de Janeiro,Jeddah,Golden Gate,Vienna,Santa Cruz de la Palma,Brasilia,Fortaleza,Alert,Doss,Thatcher,Victoria,Ness,Blackburn,Gran Paradiso,Osprey,Mitterrand,Fearless,Macdonald,Champlain,Pico de Orizaba,Hornet,Dominica,,,Fairweather,,,,Mendel,Ness,Bartels,Victoria,,
,,,,,,,,,,,,,,,,,,,,,,Catalina,Carlos,,,,Bravo,,Allied Fleet Juliet,Trento,Sundsvall,Fresno,Valencia,Mashhad,Griffith,Hamburg,Arrecife,Montevideo,Goiania,Arctic Bay,Douglass,Chretien,Blair,Huron,Lucania,Wildspitze,Superfortress,Obama,Kingcobra,Kohl,Amundsen,Aconcagua,Spitfire,Spain,,,Logan,,,,Fleming,Michigan,Ramsay,Pompidou,,
,,,,,,,,,,,,,,,,,,,,,,Josefina,Cesar,,,,Cabrera,,Allied Fleet Kilo,Aosta,Kemi,San Antonio,Seville,Marrakech,Stanley,Milan,Saint-Pierre,Cordoba,Guadalajara,Baker Lake,Equiano,Obama,Attlee,Constance,,Rainier,Amazonas,Trudeau,Starfighter,Bismarck,Drake,,Skjold,Argentina,,,,,,,Hawking,Malaren,Shearer,Pearson,,
,,,,,,,,,,,,,,,,,,,,,,Lucia,Christian,,,,Calderon,,Allied Fleet Lima,Cortina d'Ampezzo,Mo i Rana,Juarez,Mendoza,Dubai,Buttes-Chaumont,Naples,Saint-Malo,Guayaquil,Guayaquil,Clyde River,Guevara,Trudeau,Macdonald,Balaton,,Jungfrau,Wildcat,Louis XIV,Typhoon,Blair,Cortes,,Super Etendard,Brazil,,,,,,,Kepler,Winnipegosis,Somerville,Mitterrand,,
,,,,,,,,,,,,,,,,,,,,,,Salma,Cristobal,,,,Campos,,Allied Fleet Mike,Turin,Umea,Austin,Porto,Riyadh al Khabra,Hampstead Heath,Munich,Saint Helier,Porto Alegre,La Paz,Deline,Hale,Attlee,Thatcher,Geneva,,Zugspitze,Leander,Diaz,Valiant,Thatcher,La Salle,,Thunderbolt,Saint Lucia,,,,,,,Boyle,Athabasca,Kosciuszko,Washington,,
,,,,,,,,,,,,,,,,,,,,,,Maya,Daniel,,,,Cano,,Allied Fleet November,Klagenfurt,Kajaani,San Jose,Lisbon,Fès,Kensington,Valencia,Douglas,Goiania,Manaus,Grise Fiord,Hart,Trudeau,Obama,Michigan,,Grossglockner,Stratofortress,Bismarck,Gabya,Heath,Stanley,,Starfighter,Suriname,,,,,,,Planck,Superior,Sirnick,Bismarck,,
,,,,,,,,,,,,,,,,,,,,,,Miriam,David,,,,Cardenas,,Allied Fleet Oscar,Bregenz,Kemi-Tornio,Lubbock,Rosario,Mecca,Luxembourg,Frankfurt,Newport,Manaus,Medellin,Ittoqqortoormiit,Hemingway,Bolivar,Lincoln,Winnipegosis,,Finsteraarhorn,Invader,Pearson,Dragonfly,Lincoln,Vancouver,,Havoc,Monaco,,,,,,,Heisenberg,Chapala,Dewey,Obama,,
,,,,,,,,,,,,,,,,,,,,,,Maribel,Diego,,,,Carranza,,Allied Fleet Papa,Cuneo,Sodertalje,Hermosillo,Bilbao,Sulaymaniyah,Bois de Vincennes,Lisbon,San Juan,Belem,Merida,Kimmirut,Jones,Adenauer,Mulroney,Winnipeg,,Weisshorn,Avenger,Wilson,Skytrain,Roosevelt,Cabot,,Skytrain,Austria,,,,,,,Crick,Huron,Sklavounos,Diaz,,
,,,,,,,,,,,,,,,,,,,,,,Luz,Edgar,,,,Carrasco,,Allied Fleet Quebec,Sondrio,Pitea,Santa Fe,La Plata,Al Ain,Tuileries,Dublin,Christiansted,Maceio,Monterrey,Naujaat,Kosciuszko,Macdonald,Elizabeth II,Ontario,,Matterhorn,Phantom,Lincoln,Mistral,Macron,Pizarro,,Skyraider,Dominican Republic,,,,,,,Franklin,Winnipeg,Bingham,Trudeau,,
,,,,,,,,,,,,,,,,,,,,,,Juliana,Eduardo,,,,Carrillo,,Allied Fleet Romeo,Sion,Luleå-Kallax,Sacramento,Zaragoza,Erbil,Millennium,Porto,Cruz Bay,Campo Grande,Recife,Pond Inlet,Marshall,Mulroney,Chretien,Timiskaming,,Washington,Trafalgar,Roosevelt,Demon,Louis XIV,Shackleton,,Wasp,Sweden,,,,,,,Feynman,Maracaibo,Joulwan,Macdonald,,
,,,,,,,,,,,,,,,,,,,,,,Aria,Emilio,,,,Casillas,,Allied Fleet Sierra,Bormio,Oskarshamn,Monterrey,Marseille,Khartoum,Borghese,Zurich,Saint Peter Port,Aracaju,Salvador,Qaanaaq,Masaryk,Bonaparte,Churchill,Chapala,,Dom,Steregushchy,Thatcher,Warthog,Churchill,Magellan,,Stratofortress,England,,,,,,,Bohr,Constance,Miranda,Merkel,,
,,,,,,,,,,,,,,,,,,,,,,Camila,Enrique,,,,Castañeda,,Allied Fleet Tango,Bolzano,Lulea-Sunderbyn,Roswell,Bordeaux,Aswan,Ciutadella,Brussels,Grand Case,Teresina,Santo Domingo,Sachs Harbour,McCrae,Pearson,Bolivar,Neagh,,Grand Combin,Dauntless,Churchill,Tripartite,Schroeder,,,Ohio,Costa Rica,,,,,,,Schrodinger,Lucerne,Wolters,Louis XIV,,
,,,,,,,,,,,,,,,,,,,,,,Lorena,Ernesto,,,,Castillo,,Allied Fleet Uniform,,,,,,,,,,,,Miranda,Vargas,Bismarck,Lucerne,,Dufourspitze,Nighthawk,Heath,Bearcat,Brandt,,,Cougar,Panama,,,,,,,,Okeechobee,Rogers,Kohl,,
,,,,,,,,,,,,,,,,,,,,,,Adela,Esteban,,,,Castro,,Allied Fleet Victor,,,,,,,,,,,,Murphy,Macron,Trudeau,Tahoe,,Baker,He 162,Kohl,Brandenburg,de Gaulle,,,Victor,Jamaica,,,,,,,,Neagh,Fraser,Brandt,,
,,,,,,,,,,,,,,,,,,,,,,Adriana,Fabian,,,,Cervantes,,Allied Fleet Whiskey,,,,,,,,,,,,Patch,Blair,Brandt,Maracaibo,,Eiger,Phantom II,Elizabeth II,Tomcat,Disraeli,,,Ton,Finland,,,,,,,,Erie,Craddock,Trudeau,,
,,,,,,,,,,,,,,,,,,,,,,Alba,Felipe,,,,Chavez,,Allied Fleet Xray,,,,,,,,,,,,Rickenbacker,Mitterrand,Louis XIV,Malaren,,,Brandenburg,Blair,Falcon,Adenauer,,,Tornado,Chile,,,,,,,,Vattern,Masaryk,Heath,,
,,,,,,,,,,,,,,,,,,,,,,Alejandra,Fernando,,,,Contreras,,Allied Fleet Yankee,,,,,,,,,,,,Rogers,de Gaulle,Washington,Okeechobee,,,Shooting Star,Macdonald,Corsair,Pompidou,,,San Giorgio,Iceland,,,,,,,,Garda,Barton,Adenauer,,
,,,,,,,,,,,,,,,,,,,,,,Alma,Francisco,,,,Coronado,,Allied Fleet Zulu,,,,,,,,,,,,Rommel,Wilson,Wilson,Athabasca,,,Hawk,Adenauer,Steregushchy,Lincoln,,,Harrier II,Bahamas,,,,,,,,Vanern,Rickenbacker,Bonaparte,,
,,,,,,,,,,,,,,,,,,,,,,Amalia,Gabriel,,,,Cortes,,,,,,,,,,,,,,Schweitzer,Pompidou,Schroeder,Manitoba,,,Thunderchief,Mulroney,Thunderbolt II,Pearson,,,Sandown,Ireland,,,,,,,,Maggiore,Tillman,Bolivar,,
,,,,,,,,,,,,,,,,,,,,,,Amelia,Gerardo,,,,Cruz,,,,,,,,,,,,,,Sherman,Washington,Adenauer,Superior,,,Nighthawk,Lincoln,Skyhawk,Wilson,,,Galaxy,Nicaragua,,,,,,,,Tahoe,Bouchard,Mulroney,,
,,,,,,,,,,,,,,,,,,,,,,Andrea,Gilberto,,,,Delgado,,,,,,,,,,,,,,Stirling,Kohl,Pearson,Vanern,,,F125,Schroeder,Avenger,Trudeau,,,Chinook,Scotland,,,,,,,,Balaton,Rice,Thatcher,,
,,,,,,,,,,,,,,,,,,,,,,Angela,Gonzalo,,,,Diaz,,,,,,,,,,,,,,Tillman,Schroeder,de Gaulle,St. Clair,,,Black Hawk,Trudeau,Scorpène,Washington,,,Airacobra,Haiti,,,,,,,,St. Clair,Pound,Disraeli,,
,,,,,,,,,,,,,,,,,,,,,,Antonia,Guillermo,,,,Dominguez,,,,,,,,,,,,,,Wallace,Elizabeth II,Mitterrand,Saimaa,,,Bay,Attlee,Valiant,Chretien,,,SBD Dauntless,Colombia,,,,,,,,Ontario,Ritchie,Schroeder,,
,,,,,,,,,,,,,,,,,,,,,,Araceli,Hector,,,,Duran,,,,,,,,,,,,,,York,Roosevelt,Diaz,Garda,,,Tempest,Pompidou,Intruder,Trudeau,,,Argos,Mexico,,,,,,,,Peipus,Galvin,Churchill,,
