namelist_title,namelist_author,namelist_id,an_assault_army,an_clone_army,an_defense_army,an_gene_warrior_army,an_industrial_army,an_machine_assault_1,an_machine_assault_2,an_machine_assault_3,an_machine_defense,an_occupation_army,an_postatomic_army,an_primitive_army,an_psionic_army,an_robotic_army,an_robotic_defense_army,an_robotic_occupation_army,an_slave_army,an_undead_army,an_xenomorph_army,cn_first_names_female,cn_first_names_male,cn_regnal_first_names_female,cn_regnal_first_names_male,cn_regnal_second_names,cn_second_names,fn_fleet_names,fn_random_names,pn_alpine_planets,pn_arctic_planets,pn_arid_planets,pn_continental_planets,pn_desert_planets,pn_gaia_planets,pn_generic_planets,pn_ocean_planets,pn_savannah_planets,pn_tropical_planets,pn_tundra_planets,sn_battle_cruiser,sn_battleship,sn_carrier,sn_colonizer,sn_colossus,sn_construction_cruiser,sn_constructor,sn_corvette,sn_cruiser,sn_destroyer,sn_dreadnought,sn_escort_carrier,sn_exploration_ship,sn_flagship,sn_frigate,sn_generic,sn_headquarters,sn_ion_cannon,sn_juggernaut,sn_light_carrier,sn_military_station_large,sn_military_station_medium,sn_military_station_small,sn_science,sn_science_cruiser,sn_sponsored_colonizer,sn_striker_cruiser,sn_superdreadnought,sn_titan,sn_transport,sn_xl_cannon
American (ONL),osiris,american,$ORD$ Airborne Division,$ORD$ Replicant Force,$ORD$ Infantry Division,$ORD$ Special Forces,$ORD$ Corporate Division,$ORD$ SARA-1 Force,$ORD$ SARA-2 Force,$ORD$ SARA-3 Force,$ORD$ SARA-A Force,$ORD$ Garrision Force,$ORD$ Infantry Division,$ORD$ Guerilla Force,$ORD$ PsiOps Division,$ORD$ SARA Force,$ORD$ SARA-D Force,$ORD$ SARA-O Force,$ORD$ Conscript Division,$ORD$ Voidwalker Division,$ORD$ Xeno-Ops Division,Shania,Derrick,,,,Abdelaziz,$ORD$ Task Force,,New Denver,Anchorage,Phoenix,New York,Phoenix,Yellowstone,Augusta,Honolulu,Wichita,San Juan,,Patton,Washington,Carter,Iliamna,Denali,Sanoran,Mojave,Super Hornet,Bradley,Talon,Pierce,Mitscher,Meriwether Lewis,Blackburn,Starfire,Alabama,Pentagon,Paladin,Foraker,Sheridan,Base,Fort,Combat Post,Newton,Einstein,Apple,Abrams,Bush,Reagan,Expedition,Crusader
,,,,,,,,,,,,,,,,,,,,,,Isabella,Chris,,,,Adams,,,Seattle,Fairbanks,Tucson,Los Angeles,Las Vegas,Yosemite,Topeka,St. Petersburg,Omaha,Houston,,MacArthur,Adams,Wilson,Tahoe,Saint Elias,Alvord,Sanoran,Wayne E. Meyer,Dewey,Gerald R. Ford,Polk,Kidd,William Clark,Bona,Sterett,Alaska,,,Blackburn,Sherman,,,,Crick,Edison,Microsoft,Franks,Lincoln,Clinton,,
,,,,,,,,,,,,,,,,,,,,,,Tara,Qasim,,,,Ahmed,,,Portland,Juneau,Las Vegas,Chicago,Tucson,Zion,Huntington,Hialeah,Tulsa,Miami,,Nimitz,Jefferson,Taylor,Flathead,Foraker,Bona,Alvord,Black Widow,Pershing,Truxtun,Grant,Devastator,John Wesley Powell,Foraker,Hercules,Arizona,,,Denali,Ridgway,,,,Watson,Darwin,Alphabet,Arnold,Arthur,Pierce,,
,,,,,,,,,,,,,,,,,,,,,,Teresa,Marco,,,,Ahuja,,,Salt  City,Eagle River,Albuquerque,Houston,El Paso,Acadia,Concord,Port St. Lucie,Kansas City,Tampa,,Halsey,Madison,Lincoln,St. Clair,Bona,Sanford,White Sands,Skyscreecher,Abrams,Fury,Tyler,Zumwalt,Daniel Boone,Saint Elias,Phantom,Arkansas,,,Saint Elias,Powell,,,,Leakey,Newton,Meta,Petraeus,Hoover,Jefferson,,
,,,,,,,,,,,,,,,,,,,,,,Leshawn,Terrence,,,,Al-Bashir,,,Las Vegas,Wasilla,El Paso,Philadelphia,Mesa,Glacier,Charleston,Galveston,Minneapolis,San Antonio,,Bradley,Monroe,Nixon,Ontario,Blackburn,Mojave,Black Rock,Voodoo,Spruance,Phantom II,Hayes,Shooting Star,Robert Peary,Denali,Texan,California,,,Bona,Franks,,,,Tesla,Hawking,Tesla,Spruance,Madison,Arthur,,
,,,,,,,,,,,,,,,,,,,,,,Lulu,Adahy,,,,Al-Fayed,,,Colorado Springs,Palmer,Mesa,San Antonio,Chandler,Bryce Canyon,Bismarck,Largo,St. Paul,New Orleans,,Arnold,Jackson,Adams,Pontchartrain,,Black Rock,Chihuahuan,Hellcat,McChrystal,Sentinel,Bush,Coontz,Ernest Shackleton,,The Sullivans,Colorado,,,,Farragut,,,,Kepler,Feynman,AMD,Grant,Taft,Bush,,
,,,,,,,,,,,,,,,,,,,,,,Juliana,Christopher,,,,Al-Hussein,,,Boise,Ketchikan,Chandler,San Diego,Scottsdale,Arches,Dover,Homestead,Lincoln,Orlando,,Pershing,Van Buren,Polk,Erie,,Churchill,Sanford,The Sullivans,Powell,Vindicator,Fillmore,Thud,Ferdinand Magellan,,Thunderbolt II,Connecticut,,,,Patton,,,,Hawking,Tesla,NVIDIA,LeMay,Reagan,Washington,,
,,,,,,,,,,,,,,,,,,,,,,Michiko,Felix,,,,Al-Masri,,,Spokane,Kodiak,Scottsdale,Dallas,Glendale,Joshua Tree,Montrose,Titusville,Sioux Falls,Jacksonville,,Lee,Harrison,Fillmore,Champlain,,White Sands,Churchill,Skymaster,Ridgway,Vicksburg,Arthur,Stockdale,Richard E. Byrd,,Samuel B. Roberts,Delaware,,,,Schwarzkopf,,,,Pasteur,Oppenheimer,Intel,Nimitz,Clinton,Hoover,,
,,,,,,,,,,,,,,,,,,,,,,Beyoncé,Pratik,,,,Al-Saud,,,Aurora,Bethel,Glendale,San Jose,Henderson,Olympic,Dubuque,Merritt,Des Moines,Charlotte Amalie,,Grant,Tyler,Clinton,Huron,,Baker,Baker,Tiger,Lee,Ticonderoga,Coolidge,John Paul Jones,John Muir,,Tomcat,Florida,,,,King,,,,Hubble,Curie,Verizion,Sheridan,Garfield,Johnson,,
,,,,,,,,,,,,,,,,,,,,,,Asuka,Elijah,,,,Al-Zahrani,,,Fort Collins,Homer,Henderson,Austin,Gilbert,Grand Teton,Alamogordo,Marathon,Fargo,Santo Domingo Pueblo,,Sherman,Polk,Jefferson,Superior,,Chihuahuan,Bona,Ticonderoga,Arnold,Peacemaker,Van Buren,Pinckney,Charles Lindbergh,,Warthog,Georgia,,,,Grant,,,,Einstein,Bohr,Oracle,Dunford,Buchanan,Harrison,,
