namelist_title,namelist_author,namelist_id,an_assault_army,an_clone_army,an_defense_army,an_gene_warrior_army,an_industrial_army,an_machine_assault_1,an_machine_assault_2,an_machine_assault_3,an_machine_defense,an_occupation_army,an_postatomic_army,an_primitive_army,an_psionic_army,an_robotic_army,an_robotic_defense_army,an_robotic_occupation_army,an_slave_army,an_undead_army,an_xenomorph_army,cn_first_names_female,cn_first_names_male,cn_regnal_first_names_female,cn_regnal_first_names_male,cn_regnal_second_names,cn_second_names,fn_fleet_names,fn_random_names,pn_alpine_planets,pn_arctic_planets,pn_arid_planets,pn_continental_planets,pn_desert_planets,pn_gaia_planets,pn_generic_planets,pn_ocean_planets,pn_savannah_planets,pn_tropical_planets,pn_tundra_planets,sn_battle_cruiser,sn_battleship,sn_carrier,sn_colonizer,sn_colossus,sn_construction_cruiser,sn_constructor,sn_corvette,sn_cruiser,sn_destroyer,sn_dreadnought,sn_escort_carrier,sn_exploration_ship,sn_flagship,sn_frigate,sn_generic,sn_headquarters,sn_ion_cannon,sn_juggernaut,sn_light_carrier,sn_military_station_large,sn_military_station_medium,sn_military_station_small,sn_science,sn_science_cruiser,sn_sponsored_colonizer,sn_striker_cruiser,sn_superdreadnought,sn_titan,sn_transport,sn_xl_cannon
Ancient Egyptian (ONL),osiris,ancientegypt,$ORD$ Purifiers of Osiris,$ORD$ Chosen of Min,$ORD$ Guardians of Osiris,$ORD$ Chosen of Ra,$ORD$ Chosen of Amenhotep,$ORD$ Purifiers of Ptah,$ORD$ Purifiers of Ptah,$ORD$ Purifiers of Ptah,$ORD$ Guardians of Ptah,$ORD$ Liberators of Osiris,$ORD$ Chosen of Apopis,$ORD$ Chosen of Hathor,$ORD$ Chosen of Min,$ORD$ Chosen of Ptah,$ORD$ Guardians of Ptah,$ORD$ Liberators of Ptah,$ORD$ Chosen of Set,$ORD$ Chosen of Anubis,$ORD$ Chosen of Typhon,Aat,Akhom,"Merneith,","Djoser,",Lord of Worlds,,$ORD$ Disciples of Horus,Sopdus Gale,,,,,,,Thebes,,,,,Dagger of Bastet,Serket,Sekhmet,Renenutet's Will,Amon-Ra,Ptah's Vigor,Renenutet's Plow,Asti's Khopesh,Fist of Sekhmet,Setcheh's Chariot,Set,Hetepes-Sekhus,Thoth's Reach,Osiris,Anuke's Spear,Abu,Heart of Ra,Light of Ra,Amon,,,,,Thoth's Brilliance,Hand of Imhotep,,,,Horus,Khonsu's Chariot,Blinding Light of Ra
,,,,,,,,,,,,,,,,,,,,,,Ahhotep,Amasis,"Sobekneferu,","Khufu,",Beloved of Ra,,,Hathors Splendor,,,,,,,Memphis,,,,,Menhit's Javelin,Ammit,Neith,Hapi's Flood,,Breath of Nepit,Hand of Atum,Wepset's Rage,Selkis's Chariot,Apesh's Khopesh,Selkis,Ishtar,Thoth's Discovery,,Wepwawet's Spear,Ra-ateni,,,Ra,,,,,Thoth's Light,Thoth's Light,,,,Anhur,Hand of Khonsu,
,,,,,,,,,,,,,,,,,,,,,,Amenirdis,Amenmesse,Hatshepsut,"Thutmose,",the Enduring,,,Sekhmets Guardians,,,,,,,Amarna,,,,,Montu's Vigil,Anubis,Sobek,Nepit's Bounty,,Renenutet's Plow,Breath of Nepit,Kebehut's Dagger,Osiris's Dagger,Fist of Denwen,Anuke,Anuke,Revelation of Khonsu,,Pelican's Spear,Asclepius,,,,,,,,Spirit of Thoth,Spirit of Thoth,,,,Shentayet,Breath of Khonsu,
,,,,,,,,,,,,,,,,,,,,,,Aneksi,Amenmose,"Nefertiti,","Amenhotep,",Sacred of Appearance,,,Maahess Roar,,,,,,,Abydos,,,,,Hetemit's Vigil,Heptet,Astarte,Isis's Hearth,,Ptah's Vision,Hand of Ptah,Dagger of Shemat-Khu,Sekhmet's Spear,Reshep's Vigil,Anat,Hedetet,Khonsu's Secret,,Meretseger's Shield,Mehit,,,,,,,,Thoth's Genius,Imhotep's Genius,,,,Taweret,Khonsu's Will,
,,,,,,,,,,,,,,,,,,,,,,Ankhenespepi,Amennakht,"Cleopatra,","Akhenaten,",of the Two Ladies,,,Menhits Thunder,,,,,,,Apis,,,,,Hetemit's Rage,Ta-Bijet,Horus,Tatenen's Will,,Hand of Atum,Nefertum's Creation,Blade of Seblumeker,Osiris's Javelin,Fist of Apesh,Wepset,Ta-Bijet,Khonsu's Yearning,,Blade of Heryshaf,Unut,,,,,,,,Imhotep's Light,Spirit of Imhotep,,,,Sekhmet,Khonsu's Steed,
,,,,,,,,,,,,,,,,,,,,,,Ankhesenamun,Amenophis,"Neferirkare,","Tutankhamun,",Mighty of Kas,,,Khepris Guard,,,,,,,Setennu,,,,,Ra's Spear,Hetepes-Sekhus,Hedetet,Hathor's Bounty,,Nefertum's Creation,Bennu's Blessing,Khesfu's Dagger,Horus's Arrow,Apis's Vigil,Shesmetet,Meretseger,Thoth's Utterance,,Baal's Rage,Āpesh,,,,,,,,Eye of Imhotep,Hand of Thoth,,,,Aten,Spirit of Khonsu,
,,,,,,,,,,,,,,,,,,,,,,Ankhesenpaaten,Ameny,"Aya,","Remesses,",Divine in Appearance,,,Sets Wrath,,,,,,,Tao,,,,,Maahes's Chariot,Pelican,Kebehut,Rite of Anuket,,Ptah's Fortitude,Ptah's Fortitude,Blade of Apis,Sekhmet's Fury,Mehen's Arrow,Amon,Anat,Khonsu's Pioneer,,Blade of Apep,Panebtawy,,,,,,,,Hand of Thoth,Eye of Thoth,,,,Montu,,
,,,,,,,,,,,,,,,,,,,,,,Anpuhotep,Amun-her-khepeshef,,"Sekhemket,",Giver of Life,,,Bennus Fire,,,,,,,Per-Hathor,,,,,Sekhmet's Javelin,Bastet,Anhefta,Hathor's Will,,Bennu's Blessing,Ptah's Vision,Hetepes-Sekhus's Dagger,Menhit's Fury,Wrath of Khentekhtai,Ahti,Ammit,Khonsu's Prophecy,,Wrath of Serapis,Yam,,,,,,,,Spirit of Imhotep,Imhotep's Brilliance,,,,Osiris,,
,,,,,,,,,,,,,,,,,,,,,,Baketmut,Amun-her-wenemef,,"Snefru,",Light of Ra,,,Selkiss Sting,,,,,,,Kom Ombo,,,,,Neith's Rage,,Shemat-Khu,Isis's Bounty,,Ptah's Will,Ptah's Vigor,Wrath of Apis,Neith's Shield,Blood of Harmachis,,Shemat-Khu,Thoth's Prophecy,,Meretseger's Fury,Baal,,,,,,,,Hand of Imhotep,Thoth's Genius,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Beketamun,Ankh-ef-en-khonsu,,"Khafre,",Spirit of Aten,,,Isiss Blessed,,,,,,,Swenett,,,,,Menhit's Khopesh,,Ishtar,Rite of Tatenen,,Hand of Ptah,Ptah's Will,Blood of Buchis,Fist of Maahes,Aani's Khopesh,,Serket,Khonsu's Reach,,Ammit's Arrow,Heru-Khu,,,,,,,,Imhotep's Genius,Imhotep's Light,,,,,,
