namelist_title,namelist_author,namelist_id,an_assault_army,an_clone_army,an_defense_army,an_gene_warrior_army,an_industrial_army,an_machine_assault_1,an_machine_assault_2,an_machine_assault_3,an_machine_defense,an_occupation_army,an_postatomic_army,an_primitive_army,an_psionic_army,an_robotic_army,an_robotic_defense_army,an_robotic_occupation_army,an_slave_army,an_undead_army,an_xenomorph_army,cn_first_names_female,cn_first_names_male,cn_regnal_first_names_female,cn_regnal_first_names_male,cn_regnal_second_names,cn_second_names,fn_fleet_names,fn_random_names,pn_alpine_planets,pn_arctic_planets,pn_arid_planets,pn_continental_planets,pn_desert_planets,pn_gaia_planets,pn_generic_planets,pn_ocean_planets,pn_savannah_planets,pn_tropical_planets,pn_tundra_planets,sn_battle_cruiser,sn_battleship,sn_carrier,sn_colonizer,sn_colossus,sn_construction_cruiser,sn_constructor,sn_corvette,sn_cruiser,sn_destroyer,sn_dreadnought,sn_escort_carrier,sn_exploration_ship,sn_flagship,sn_frigate,sn_generic,sn_headquarters,sn_ion_cannon,sn_juggernaut,sn_light_carrier,sn_military_station_large,sn_military_station_medium,sn_military_station_small,sn_science,sn_science_cruiser,sn_sponsored_colonizer,sn_striker_cruiser,sn_superdreadnought,sn_titan,sn_transport,sn_xl_cannon
Arabian (ONL),osiris,arabian,$ORD$ Jaysh Alhujum,$ORD$ Aljaysh Almustansakh,$ORD$ Jaysh Aldifae,$ORD$ Jaysh Almuharib Aljinii,$ORD$ Jaysh Alsinaeiu,$ORD$ Jaysh Hujum Ala,$ORD$ Jaysh Hujum Ala,$ORD$ Jaysh Hujum Ala,$ORD$ Jaysh Aldifae Alali,$ORD$ Jaysh Alaihtilal,$ORD$ Jaysh Ma Baed Aldharaat,$ORD$ Jaysh Bidayiy,$ORD$ Jaysh Bisyuni,$ORD$ Jaysh iinsan Ali,$ORD$ Jaysh iinsan Ali Difae,$ORD$ Jaysh iinsan Ali al-Aihtilal ,$ORD$ Jaysh al-Eubayd ,$ORD$ Jaysh Mayt Hay ,$ORD$ Jaysh al-Kayin al-Fadayiyun ,Aaliyah,Abbas,Aisha,Abd ar-Rahman,al-Adid,Abadi,$ORD$ Ustul ,,,,,,,,Cairo,,,,,Al-Malik,Al-Mustansir,Al-Mutadid Billah,Nile,Ayyubid,Sahara,Sahara,Qutaybah ibn Muslim,Nasser,Iqbal,Al-Mustadi Billah,Al-Mahdi,Al-Farabi,Saladin,Anas ibn Malik,Scimitar,Maqara,Midfae,Mamluk,Al-Khalid,Qaleat Easkaria,Mahatat Easkaria,Markaz Easkariun,Al-Farabi,Al-Sabbah,Yarmouk,Mohammed VI,Al-Muqtafi Billah,Al-Mustansir,Bucephalus,Midfae Kabir
,,,,,,,,,,,,,,,,,,,,,,Adara,Abdul,Fatima,Ali,al-Adil I,Abboud,,,,,,,,,Baghdad,,,,,Al-Ahmad,Al-Mu'tazz Billah,Al-Mu'tadhir,Euphrates,Ghaznavid,Sinai,Sinai,Mohammed Dib,Sadat,Jinnah,Al-Mutawakkil al-Mawsili,Aoun,Al-Battani ,Abbasid,Al-Radi,Shamsir,,,Tulunid,Al-Kubaisi,,,,Al-Battani ,Zaki Pasha,Wadi Rum,Al-Rashidi,Al-Mustakfi,Al-Mu'tazz Billah,Al Khamsa,
,,,,,,,,,,,,,,,,,,,,,,Afja,Abid,Hafsah,Ali,al-Aziz,Abdallah,,,,,,,,,Riyadh,,,,,Al-Majid,Al-Zahir,Al-Muqtafi,Tigris,Fatimid,Toubkai,Toubkai,Niazi,Mubarak,Massoud,Al-Mu'tasim Billah,Al-Khalid,Ibn Sina,Fatimid,Nizar Qabbani,Acinaces,,,Ayyubid,Al-Ahmad,,,,Ibn Sina,Belkaid,Karun,Al-Sabah,Al-Mu'tazz,Al-Zahir,Mameluke,
,,,,,,,,,,,,,,,,,,,,,,Aifa,Abu Hurayrah,Juwayriyyah,Hamad,al-Aziz Ghiyath al-Din,Ahmad,,,,,,,,,Alexandria,,,,,Al-Mahdi,Al-Hadi,Umar ibn al-Khattab,Litani,Umayyad,Sawda,Sawda,Iqbal,El-Sisi,Tipu,Al-Muktafi,Al-Turabi,Al-Khwarizmi,Ayyubid,Ghazi,Kilij,,,Abbasid,Al-Rubaie,,,,Al-Khwarizmi,Al-Kindi ,Draa,Al-Sistani,Muawiyah I,Al-Hadi,Zayd,
,,,,,,,,,,,,,,,,,,,,,,Ainaz,Adam,Khadijah,Harun,al-Aziz Zahir al-Din Tughtigin,Ali,,,,,,,,,Dubai,,,,,Al-Muqrin,Al-Muktafi Billah,Al-Mustarshid Billah II,Orontes,Buyid,Negev,Negev,Bairam Khan,Farouk,Murad,Umar ibn al-Khattab,Al-Rashidi,Omar Khayyam,Mamluk,Al-Wathiq,Pulwar,,,Ghaznavid,Hassan II,,,,Omar Khayyam,Al-Haytham,Sous,Al-Hamid,Al-Mustadi,Al-Muktafi Billah,Sotamm,
,,,,,,,,,,,,,,,,,,,,,,Aisha,Adeem,Mariah,Hassan,al-Afdal,Almasi,,,,,,,,,Jeddah,,,,,Al-Hassan,Al-Nasir Muhammad,Al-Muntasir,Yarmouk,Seljuk,Dasht-e Lut,Dasht-e Lut,Zaid ibn Ali,Al Saud,Abbas,Al-Mu'tamid Billah,Al-Allawi,Al-Razi,Almohad,Al-Munastir,Talwar,,,Buyid,Mohammed VI,,,,Al-Razi,El-Sayed,Guir,Ben Ali,Al-Mustanjid Billah III,Al-Nasir Muhammad,Shuwaiman Al Baher,
,,,,,,,,,,,,,,,,,,,,,,Aliyna,Adib,Maymunah,Hisham,al-Amin,Amari,,,,,,,,,Basrah,,,,,Al-Masri,Al-Mutawakkil,Uthman ibn Affan,Diyali,Tulunid,Nafud Desert,Nafud Desert,Abdulrahman al-Sudais,Bin Salman,Malik Ambar,Al-Muqtadir,Al-Bashir,Ibn Haiyan,Almoravid,Ibrahim,Yataghan,,,Rashidun,Al-Rawi,,,,Ibn Haiyan,Al-Farabi,Al-Batinah,Abdullah,Al-Musta'in Billah,Al-Mutawakkil,Nafada,
,,,,,,,,,,,,,,,,,,,,,,Alizha,Adil,Rayhanah,Hussein,al-Amir,Amin,,,,,,,,,Giza,,,,,Al-Hariri,Harun al-Rashid,Al-Muqallad,Al-Mukhaizna,Abbasid,Rub al-Khali,Rub al-Khali,Nizar Qabbani,Al Maktoum,Niazi,Al-Mustanjid Billah,Al-Sisi,Al-Kindi ,Rashidun,Iqbal,Khanjar,,,Umayyad,Farouk,,,,Al-Kindi ,Omar Khayyam,Diyali,Al-Amiri,Abd al-Malik ibn Marwan,Harun al-Rashid,Hujjah,
,,,,,,,,,,,,,,,,,,,,,,Amal,Adnan,Ruqayya,Ibrahim,al-Ashraf,Antar,,,,,,,,,Sanaa,,,,,Al-Habashi,Al-Malik al-Nasir,Al-Mustakfi,Al-Batinah,Samanid,Dasht-e Kavir,Dasht-e Kavir,Maysun bint Bahdal,Al Nahyan,Bairam Khan,Al-Qadir Billah,Al-Sumaidaie,Al-Haytham,Tulunid,Abdullah ibn Masud,Kard,,,Almoravid,Al-Hassan,,,,Al-Haytham,El-Baz,Zarqa,Al-Tamimi,Al-Walid,Al-Malik al-Nasir,Moniet El Nefous,
,,,,,,,,,,,,,,,,,,,,,,Amani,Afif,Safiyyah,Ismail,al-Din Ayubbi,Antoun,,,,,,,,,Beirut,,,,,Al-Tamimi,Al-Saffah,Al-Mustazhir,Jordan,Ottoman,Atlas,Atlas,Abdullah ibn Umar,Al Khalifa,Amr ibn al-Aas,Al-Mu'tadhir,Al-Farhan,Ibn Zuhr,Idrisid,Maysun bint Bahdal,Khamaseen,,,Idrisid,Al-Mahjoub,,,,Ibn Zuhr,Al-Khwarizmi,Wadi Mujib,Al-Karim Khalili,Al-Muwaffaq al-Din Allah,Al-Saffah,Ansata Ibn Halima,
