namelist_title,namelist_author,namelist_id,an_assault_army,an_clone_army,an_defense_army,an_gene_warrior_army,an_industrial_army,an_machine_assault_1,an_machine_assault_2,an_machine_assault_3,an_machine_defense,an_occupation_army,an_postatomic_army,an_primitive_army,an_psionic_army,an_robotic_army,an_robotic_defense_army,an_robotic_occupation_army,an_slave_army,an_undead_army,an_xenomorph_army,cn_first_names_female,cn_first_names_male,cn_regnal_first_names_female,cn_regnal_first_names_male,cn_regnal_second_names,cn_second_names,fn_fleet_names,fn_random_names,pn_alpine_planets,pn_arctic_planets,pn_arid_planets,pn_continental_planets,pn_desert_planets,pn_gaia_planets,pn_generic_planets,pn_ocean_planets,pn_savannah_planets,pn_tropical_planets,pn_tundra_planets,sn_battle_cruiser,sn_battleship,sn_carrier,sn_colonizer,sn_colossus,sn_construction_cruiser,sn_constructor,sn_corvette,sn_cruiser,sn_destroyer,sn_dreadnought,sn_escort_carrier,sn_exploration_ship,sn_flagship,sn_frigate,sn_generic,sn_headquarters,sn_ion_cannon,sn_juggernaut,sn_light_carrier,sn_military_station_large,sn_military_station_medium,sn_military_station_small,sn_science,sn_science_cruiser,sn_sponsored_colonizer,sn_striker_cruiser,sn_superdreadnought,sn_titan,sn_transport,sn_xl_cannon
Medieval (ONL),osiris,medieval,$ORD$ Royal Knights,$ORD$ Footmen,$ORD$ Knights Guard,$ORD$ Berserkers,$ORD$ Footmen,$ORD$ Automata Knights,$ORD$ Automata Knights,$ORD$ Automata Knights,$ORD$ Automata Guard,$ORD$ Royal Garrison,$ORD$ Footmen,$ORD$ Peasant Levy,$ORD$ Royal Magus,$ORD$ Automata,$ORD$ Automata Guard,$ORD$ Automata Garrison,$ORD$ Janissaries,$ORD$ Revenant Army,$ORD$ Monstrum,Honoria,Nicholas,Matilda,William,Plantagenet,Potter,$ORD$ Royal Fleet,,Roncolo,Vyborg,Alhambra,Frasers,Siwa Oasis,Versailles,,Château d'If,,Sigiriya,Turaida,Godendag,William de la Pole,Joanot Martorell,Marco Polo,Arthur ,Gerard of Cremona,Filippo Brunelleschi,Katti,Katana,Bardiche,Baldwin I,War Hammer,Prince Henry,William,Falchion,,Chancery,Ballista,Arthur ,Greatclub,Citadel,Bastion,Bulwark,Adelard,Oresme,Marco Polo,Crossbow,Bors,Beowulf,Vasco da Gama,Scorpio
,,,,,,,,,,,,,,,,,,,,,,Mirabelle,Geoffrey,Eleanor,Richard,Capet,Sadler,,,Miramare,Trosky,Shali,Pena,Qasr Al-Nil,Schönbrunn,,Conwy,,Kangla ,Oreshek,Zweilhander,Gawain,Jean de Dunois,Columbus,Saladin,Andrea Pisano,Leonardo da Vinci,Bolas,Spetum,Baselard,Tor,Shashqua,Cortez,Hardrada,Broadsword,,,Mangonel,Saladin,Cinquedea,,,,Al-Biruni,Avicenna,Verrazzano,Zweilhander,Hawkwood,Lancelot,Ibn Battuta,Helepolis
,,,,,,,,,,,,,,,,,,,,,,Giselle,Humphrey,Isabella,Henry,Habsburg,Clark,,,Burg Hohenzollern,Gdov,Alcazaba,Regaleira,Bam,Chambord,,Cornet,,Morro de Sao Paulo,Vyborg,Langmesser,Gareth,Hugh de Lacy,Vasco da Gama,Lionheart,Giovanni di Simone,Robert de Luzarches,Machete,Kusarigama,Bastard Sword,Alfonso ,Tongi,Pizarro,Saladin,Hwando,,,Catapult,William,Warhammer,,,,Al-Farabi,Al-Razi,James Cook,Pollaxe,Tor,Lamorak,Erikson,Springald
,,,,,,,,,,,,,,,,,,,,,,Philippa,Everard,Catherine,Edward,Valois,Webster,,,Beseno,Marienburg,Ait Benhaddou,Larnach,El Badi,Neuschwanstein,,Craigievar,,Fasil Ghebbi,Kuusisto,Bardiche,Percival,Arturo Prat,Ibn Battuta,Charlemagne,Leonardo da Vinci,Villard de Honnecourt,Sickle,Lance,Battle Axe,William de Warenne,Tonbogiri,Ponce de Leon,Suleiman,Kilij,,,Scorpio,Hardrada,Zanbato,,,,Al-Khwarizmi,Theodoric,Zheng He,Tizona,Lancelot,Tristan,Cabral,Trebuchet
,,,,,,,,,,,,,,,,,,,,,,Lavinia,Eudes,Elizabeth,John,Tudor,Bailey,,,Malcesine,Loket,Qal'at al-Bahrain,Lochleven,Rostamabad Qal'eh,Hampton Court,,Crusader,,Osaka ,Korela,War Hammer,Robert de Beaumont,William de la Pole,rikson,Ivan,Robert de Luzarches,Al-Farghani,Epee,Sallet,Bec de Corbin,El Cid,Cinquedea,Erikson,Arthur ,Jian,,,Trebuchet,Suleiman,Hache-gueule,,,,Al-Razi,Al-Khwarizmi,Prince Henry,Thracian pick,Joan of Arc,Godfrey ,Cabeza de Vaca,Ballista
,,,,,,,,,,,,,,,,,,,,,,Beatrice,Arnold,Margaret,Philip,Bourbon,Wright,,,Hohensalzburg,Viipuri,Krak des Chevaliers,Glamis,Ait-Ben-Haddou,Topkapi,,Criccieth,,Nizwa ,Tvrz,Greatsword,Gaheris,Tristan,Zheng He,Barbossa,Bertrand du Guesclin,Peter Parler,Saif,Tuck,Bhuj,Tristan,Chauve Souris,Vespucci,Edward,Spadroon,,,Springald,Lionheart,Spontoon,,,,Alhazen,Alhazen,Pizarro,Hache-gueule,Lamorak,Mordred,Vespucci,Sambuca
,,,,,,,,,,,,,,,,,,,,,,Eudora,Dietrich,Mary,Louis,Hohenzollern,Farmer,,,Grande,Lappeenranta,Alamut,Shugborough,Shali,El Escorial,,Culzean,,Aguada ,Vysehrad,Shotel,Geraint,Percival,Cabot,Suleiman,Peter Parler,Giovanni di Simone,Shamshir,Pike,Bolas,Iwein,Tabarzin,Ibn Battuta,Ivan,Smatchet,,,Helepolis,Gustav,Halberd,,,,Aquinas,Grosseteste,Ibn Battuta,Great Axe,Baldwin IV ,William Wallace,Ponce de Leon,Onager
,,,,,,,,,,,,,,,,,,,,,,Edith,John,Joan,Charles,Hohenstaufen,Capper,,,Hohenschwangau,Kiev Pechersk Lavra,Beau,Warwick,Al-Rahma,Blenheim,,Dunnottar,,Mehrangarh,Vysoke Myto,Naginata,Owain,Bedevere,Vespucci,Gustav,Filippo Brunelleschi,Bertrand du Guesclin,Partisan,Romphaia,Broadsword,Brian Boru,Shotel,Diaz,Gustav,Qaddara,,,Sambuca,Charlemagne,Partisan,,,,Avicenna,Scotus,Cabeza de Vaca,Chauve Souris,William de la Pole,Kay,Prince Henry,Mangonel
,,,,,,,,,,,,,,,,,,,,,,Hester,Philip,Blanche,Ferdinand,Angevin,Burgess,,,Pontebba,Kozlov,Bou Inania Madrasa,Rothenburg,Dar al-Makhzen,Alhambra,,Eilean Donan,,Pena ,Vysebrod,Chauve Souris,Lancelot,Hawkwood,Prince Henry,Hardrada,Al-Farghani,Andrea Pisano,Gauntlet,Tachi,Cestus,Gaheris,Almogavar,Cabral,Charlemagne,Pala,,,Onager,Ivan,Godendag,,,,Buridan,Adelard,Erikson,Tonbogiri,Galahad,Marshal,Zheng He,Catapult
,,,,,,,,,,,,,,,,,,,,,,Sabine,William,Philippa,James,Welf,Mason,,,Tures,Kastelholm,Takeda,Dunblane,Tafilelt,Windsor,,Fasil Ghebbi,,Royal  of Kandy,Trosky,Zhua,Vasco da Gama,Brian Boru,Cabral,Edward,Villard de Honnecourt,Gerard of Cremona,Tegha,Tizona,Chakram,Hugh de Lacy,Zhanmadao,Magellan,Barbossa,Cestus,,,,Barbossa,Claymore,,,,Grosseteste,Khayyam,Cortez,Spetum,Arturo Prat,Humphrey,Magellan,
