namelist_title,namelist_author,namelist_id,an_assault_army,an_clone_army,an_defense_army,an_gene_warrior_army,an_industrial_army,an_machine_assault_1,an_machine_assault_2,an_machine_assault_3,an_machine_defense,an_occupation_army,an_postatomic_army,an_primitive_army,an_psionic_army,an_robotic_army,an_robotic_defense_army,an_robotic_occupation_army,an_slave_army,an_undead_army,an_xenomorph_army,cn_first_names_female,cn_first_names_male,cn_regnal_first_names_female,cn_regnal_first_names_male,cn_regnal_second_names,cn_second_names,fn_fleet_names,fn_random_names,pn_alpine_planets,pn_arctic_planets,pn_arid_planets,pn_continental_planets,pn_desert_planets,pn_gaia_planets,pn_generic_planets,pn_ocean_planets,pn_savannah_planets,pn_tropical_planets,pn_tundra_planets,sn_battle_cruiser,sn_battleship,sn_carrier,sn_colonizer,sn_colossus,sn_construction_cruiser,sn_constructor,sn_corvette,sn_cruiser,sn_destroyer,sn_dreadnought,sn_escort_carrier,sn_exploration_ship,sn_flagship,sn_frigate,sn_generic,sn_headquarters,sn_ion_cannon,sn_juggernaut,sn_light_carrier,sn_military_station_large,sn_military_station_medium,sn_military_station_small,sn_science,sn_science_cruiser,sn_sponsored_colonizer,sn_striker_cruiser,sn_superdreadnought,sn_titan,sn_transport,sn_xl_cannon
Western Nations (ONL),osiris,westernnations,$ORD$ Allied Assault Force,$ORD$ Allied Replicant Force,$ORD$ Allied Garrision,$ORD$ Allied Special Forces,$ORD$ Allied Corp-Sec,$ORD$ Allied Mech Division,$ORD$ Allied Mech Division,$ORD$ Allied Mech Division,$ORD$ Allied Mech Garission,$ORD$ Allied Peacekeepers,$ORD$ Allied Forces,$ORD$ Allied Militia,$ORD$ Allied Psi-Ops Division,$ORD$ Cybernetic Force,$ORD$ Allied Cybernetic Garrision,$ORD$ Allied Cybernetic Peacekeepers,$ORD$ Allied Conscript Force,$ORD$ Allied Revenant Diviison,$ORD$ Allied Xeno Division,Isabella,Alejandro,,,,Aguilar,$ORD$ Allied Task Force,Allied Fleet Alpha,Vienna,Tromso,Phoenix,Buenos Aires,Riyadh,Bois de Boulogne,Istanbul,Palma de Mallorca,Sao Paulo,Barranquilla,Barrow,Bader,Brandt,Bonaparte,Como,Mont Blanc,Eiger,Dent Blanche,Meko 200,Merkel,Skyhawk,Bolivar,Carver,Cook,Mont Blanc,Globemaster,Malta,WATO Headquarters,Ulfhednar,Pico de Orizaba,Diaz,Allied Base,Allied Fort,Allied Combat Post,Newton,Galilei,Manitoba,Hale,Schroeder,Wilson,$ORD$ Allied Expeditionary Force,Varangian
,,,,,,,,,,,,,,,,,,,,,,Sofia,Andres,,,,Alvarado,,Allied Fleet Bravo,Munich,Rovaniemi,Las Vegas,São Paulo,Cairo,Tiergarten,London,Las Palmas de Gran Canaria,Buenos Aires,Belem,Churchill,Balboa,Heath,Lincoln,Onega,Whitney,Jungfrau,Shasta,Spitfire,de Gaulle,Hercules,Victoria,Equiano,Hudson,Logan,Lightning II,Bolivia,,,Saint Elias,Thatcher,,,,Galilei,Feynman,Onega,Van den Burg,de Gaulle,Lincoln,,
,,,,,,,,,,,,,,,,,,,,,,Valentina,Angel,,,,Arroyo,,Allied Fleet Charlie,Zurich,Oulu,Tucson,Santiago,Tehran,Chapultepec,Paris,Santa Cruz de Tenerife,Rio de Janeiro,Brasilia,Ilulissat,Barton,Lincoln,Kohl,Ladoga,Aconcagua,Hood,Hood,Descubierta,Chretien,Eagle,Bonaparte,Palomeros,Vespucci,Saint Elias,Mustang,Cuba,,,Whitney,Macron,,,,Darwin,Bohr,Geneva,Slessor,Wilson,Roosevelt,,
,,,,,,,,,,,,,,,,,,,,,,Anaïs,Antonio,,,,Barajas,,Allied Fleet Delta,Innsbruck,Luleå,San Diego,Madrid,Baghdad,Ibirapuera,Madrid,Funchal,Lima,Cali,Inuvik,Bingham,Merkel,Pompidou,Erie,Saint Elias,Grand Teton,Grand Teton,Warthog,Washington,Dreadnought,Mulroney,Doss,Lewis,Blackburn,Anzac,Trinidad,,,Blackburn,Kohl,,,,Einstein,Einstein,Ladoga,Clark,Thatcher,Chretien,,
,,,,,,,,,,,,,,,,,,,,,,Marisol,Armando,,,,Barrera,,Allied Fleet Echo,Geneva,Reykjavik,El Paso,Barcelona,Ankara,Retiro,Barcelona,Ibiz,Bogota,Campo Grande,Kaktovik,Bolivar,Churchill,Heath,Peipus,Logan,Dom,Denali,Skyray,Bonaparte,Superfortress,Vargas,Hodges,Franklin,Fairweather,Dragon Lady,Grenada,,,Mont Blanc,Pearson,,,,Pasteur,Franklin,Saimaa,Hodges,Macdonald,Blair,,
,,,,,,,,,,,,,,,,,,,,,,Paloma,Arturo,,,,Beltran,,Allied Fleet Foxtrot,Grenoble,Trondheim,Albuquerque,Rome,Algiers,Tivoli,Rome,San Sebastian,Salvador,Cancun,Kirkenes,Carver,Disraeli,Roosevelt,Vattern,Pico de Orizaba,Shasta,Blanc de Courmayeur,Corsair,Victoria,Skyraider,Elizabeth II,Lanata,Livingstone,Whitney,Havoc,Germany,,,Popocatepetl,Lincoln,,,,Curie,Darwin,Texcoco,Cunningham,Blair,de Gaulle,,
,,,,,,,,,,,,,,,,,,,,,,Esperanza,Augusto,,,,Benitez,,Allied Fleet Golf,Salzburg,Alta,Mesa,Lima,Casablanca,Stanley,Berlin,Soller,Fortaleza,Cartagena,Longyearbyen,Costilla,Victoria,Vargas,Texcoco,Popocatepetl,Dufourspitze,Elbert,Airacobra,Disraeli,Osprey,Mitterrand,Smith,Pike,Popocatepetl,Bearcat,Italy,,,Lucania,Pompidou,,,,Faraday,Maxwell,Como,Luns,Washington,Macron,,
,,,,,,,,,,,,,,,,,,,,,,Isadora,Benito,,,,Bernal,,Allied Fleet Hotel,Chambéry,Kiruna,Los Angeles,Montevideo,Medina,Vondel,Athens,Angra do Heroismo,Recife,Cucuta,Tasiilaq,Dawes,Bismarck,Disraeli,Maggiore,Fairweather,Washington,Robson,Skjold,Bolivar,Oaxaca,Merkel,Wilson,Clark,Lucania,Leander,Denmark,,,Aconcagua,Disraeli,,,,Maxwell,Kepler,Timiskaming,Lemnitzer,Vargas,Attlee,,
,,,,,,,,,,,,,,,,,,,,,,Giselle,Bruno,,,,Bonilla,,Allied Fleet India,Annecy,Bodø,Bakersfield,Rio de Janeiro,Jeddah,Golden Gate,Vienna,Santa Cruz de la Palma,Brasilia,Fortaleza,Alert,Doss,Thatcher,Victoria,Ness,Blackburn,Zugspitze,Gran Paradiso,Osprey,Mitterrand,Fearless,Macdonald,Fisher,Champlain,Pico de Orizaba,Hornet,Dominica,,,Fairweather,Bolivar,,,,Mendel,Schrodinger,Ness,Bartels,Chretien,Victoria,,
,,,,,,,,,,,,,,,,,,,,,,Catalina,Carlos,,,,Bravo,,Allied Fleet Juliet,Trento,Sundsvall,Fresno,Valencia,Mashhad,Griffith,Hamburg,Arrecife,Montevideo,Goiania,Arctic Bay,Douglass,Chretien,Blair,Huron,Lucania,Robson,Wildspitze,Superfortress,Obama,Kingcobra,Kohl,Shalikashvili,Amundsen,Aconcagua,Spitfire,Spain,,,Logan,Brandt,,,,Fleming,Newton,Michigan,Ramsay,Churchill,Pompidou,,
